date,open,high,low,close,volume
2021-07-30,1030,1200,1020,1185,24190
2021-08-06,1180,1185,1120,1150,8563
2021-08-13,1140,1170,1140,1170,14745
2021-08-20,1170,1210,1160,1190,5835
2021-08-27,1190,1550,1190,1400,28374
2021-09-03,1400,1400,1205,1285,20560
2021-09-10,1215,1395,1215,1300,6312
2021-09-17,1350,1350,1250,1270,6566
2021-09-24,1290,1350,1265,1350,19044
2021-10-01,1365,1390,1250,1250,11820
2021-10-08,1160,1160,1005,1020,23222
2021-10-15,1095,1095,1010,1050,10236
2021-10-22,1030,1250,1025,1200,13734
2021-10-29,1200,1290,1155,1220,16064
2021-11-05,1255,1300,1235,1245,10074
2021-11-12,1245,1250,1135,1135,16676
2021-11-19,1100,1100,905,1020,34331
2021-11-26,1025,1125,1000,1125,15977
2021-12-03,1100,1100,1000,1050,10379
2021-12-10,1060,1060,1005,1005,10077
2021-12-17,1040,1040,945,945,14170
2021-12-24,945,995,875,930,18434
2021-12-31,930,980,900,960,7990
2022-01-07,960,960,875,935,7000
2022-01-14,935,950,905,945,9404
2022-01-21,945,960,945,960,3203
2022-01-28,960,960,900,920,10202
2022-02-04,925,940,905,930,11487
2022-02-11,920,950,910,940,34772
2022-02-18,940,1110,915,1085,32946
2022-02-25,1100,1105,940,1060,34333
2022-03-04,1100,1130,1005,1095,24394
2022-03-11,1095,1125,1000,1045,23394
2022-03-18,1000,1050,1000,1050,13960
2022-03-25,1050,1095,1010,1045,7663
2022-04-01,1050,1050,1000,1030,15808
2022-04-08,1030,1040,1000,1010,2714
2022-04-15,1000,1020,950,955,19784
2022-04-22,955,1045,950,1045,1676
2022-04-29,1050,1050,960,1000,3075
2022-05-06,1000,1000,880,990,7354
2022-05-13,920,985,800,810,14448
2022-05-20,815,915,735,915,12439
2022-05-27,915,915,850,850,2981
2022-06-03,850,925,850,915,5349
2022-06-10,915,1000,915,925,1500
2022-06-17,915,925,850,855,3648
2022-06-24,910,910,850,900,1082
2022-07-01,900,1000,900,1000,9901
2022-07-08,995,1020,990,1000,16799
