date,open,high,low,close,volume
2026-06-13,12100,12195,12100,12195,398
2026-06-14,12100,12195,12100,12195,398
2026-06-16,12050,12050,12005,12005,1559
2026-06-17,12005,12005,11900,11900,922
2026-06-19,11100,11990,11100,11990,582
2026-06-20,11100,11990,11100,11990,582
2026-06-21,11100,11990,11100,11990,582
2026-06-22,11990,11990,11950,11950,652
2026-06-23,11950,12120,11950,12120,2697
2026-06-24,12150,12150,12120,12120,588
2026-06-25,11900,12000,11900,12000,365
2026-06-29,11900,12000,11900,12000,6430
2026-06-30,12000,12000,12000,12000,760
2026-07-01,12120,12120,12100,12100,1667
2026-07-02,12060,12060,12045,12045,643
2026-07-03,11990,12045,11990,12045,479
2026-07-05,11990,12045,11990,12045,479
2026-07-06,12030,12040,12030,12040,696
2026-07-07,12040,12040,12040,12040,470
2026-07-08,11200,12000,11200,12000,2961
2026-07-09,12000,12000,12000,12000,6443
2026-07-10,12000,12115,12000,12115,1262
2026-07-13,12000,12000,11340,11340,364
2026-07-14,11400,11400,11300,11300,4501
2026-07-15,11300,11300,11275,11275,583
2026-07-16,11275,11275,11260,11260,850
2026-07-17,11265,11300,11265,11300,744
2026-07-20,11300,11900,11300,11900,1672
2026-07-21,11900,11970,11900,11970,1949
2026-07-22,12000,12000,11900,11900,684
2026-07-23,11900,11900,11900,11900,561
2026-07-24,11885,11885,11825,11825,1139
2026-07-27,11970,11970,11940,11940,226
2026-07-28,11940,11940,11930,11930,418
2026-07-29,11970,11970,11800,11800,747
2026-07-30,11800,11800,11650,11650,973
2026-07-31,11650,11900,11650,11900,305
2026-08-03,11900,11900,11900,11900,669
2026-08-04,11900,11900,11900,11900,2599
2026-08-05,11900,11900,11400,11400,487
2026-08-06,11700,11900,11700,11900,478
2026-08-07,11700,11900,11700,11900,478
2026-08-10,11700,11890,11700,11890,1883
2026-08-11,11890,11890,11650,11650,1444
2026-08-12,11550,11605,11550,11605,1143
2026-08-13,11605,11610,11605,11610,2186
2026-08-14,11900,11900,11610,11610,1013
2026-08-17,11615,11895,11615,11895,664
2026-08-18,11895,11970,11895,11970,1599
2026-08-19,11970,12145,11970,12145,2046
2026-08-20,12000,12090,12000,12090,3424
2026-08-21,12090,12145,12090,12145,965
2026-08-24,12145,12145,12000,12000,2285
2026-08-25,12145,12145,12000,12000,2285
2026-08-26,12195,12490,12195,12490,1763
2026-08-28,12400,12700,12400,12700,720
2026-08-29,12700,13000,12700,13000,426
2026-08-31,13000,13000,12995,12995,6285
2026-09-01,13000,13000,12750,12750,1309
2026-09-02,12760,12850,12760,12850,713
2026-09-03,12950,13500,12950,13500,1482
2026-09-04,13550,13550,13500,13500,5189
2026-09-10,14500,14500,13500,13500,4045
2026-09-18,13255,13255,13150,13150,187
2026-09-24,11165,11910,11165,11910,1772
