date,open,high,low,close,volume
2021-07-30,4445,4605,3700,4605,71911
2021-08-31,4300,4700,4300,4400,16165
2021-09-30,4350,4500,4000,4200,36706
2021-10-29,4210,4600,4165,4175,65898
2021-11-30,4395,4590,4105,4590,6401
2021-12-31,4500,4555,4150,4295,7924
2022-01-31,4500,4500,4070,4400,7750
2022-02-28,4275,4450,3750,4100,53322
2022-03-31,4100,4495,4100,4495,32887
2022-04-29,4375,4890,4255,4885,30100
2022-05-31,4885,5160,4550,5160,17563
2022-06-30,5160,5400,4800,5260,13753
2022-07-29,5260,5350,4980,5200,17997
2022-08-31,5200,5490,5000,5490,26359
2022-09-30,5500,5700,5190,5500,12752
2022-10-31,5495,5690,4765,5450,58251
2022-11-30,5430,5430,4520,4530,10608
2022-12-30,4700,5550,4505,5465,38132
2023-01-31,5465,5465,4750,5340,20914
2023-02-28,5340,5350,4900,5200,39670
2023-03-31,5200,5350,4855,5200,14752
2023-04-28,5100,5200,4765,5090,4175
2023-05-31,5090,5150,4750,5000,9462
2023-06-30,5000,5000,4745,4990,22113
2023-07-31,4990,5370,4750,5370,156069
2023-08-31,5360,5360,5000,5250,53413
2023-09-28,5250,5450,4650,4845,45703
2023-10-31,4845,4950,4440,4500,43707
2023-11-30,4500,4945,4000,4825,26323
2023-12-29,4910,4910,4330,4770,12002
2024-01-31,4750,4750,4305,4380,6203
2024-02-29,4380,4695,4100,4490,9185
2024-03-29,4400,4500,4100,4500,10053
2024-04-30,4500,4500,4200,4370,32586
2024-05-31,4500,5250,4500,5140,30813
2024-06-28,5005,5340,4935,5325,47559
2024-07-31,5325,5550,5035,5400,39501
2024-08-30,5400,6000,4995,5970,40458
2024-09-30,5970,6100,5320,5720,46312
2024-10-31,5300,5700,4995,5500,114979
2024-11-29,5495,5500,5040,5500,35151
2024-12-31,5500,5910,5500,5685,27824
2025-01-31,5690,5990,5500,5800,20419
2025-02-28,5845,6200,5750,6010,29868
2025-03-28,6010,6600,6010,6580,32893
2025-04-30,6580,6710,6000,6400,16220
2025-05-30,5920,6400,5850,6350,31660
2025-06-30,6350,6400,5800,6000,15142
2025-07-31,6000,6100,5600,5900,14181
2025-08-29,6000,6190,5850,6100,13869
2025-09-30,6150,6300,5320,5850,26707
2025-10-31,5900,6250,5825,6145,21089
2025-11-28,5900,6140,5900,6095,28388
2025-12-31,6095,6115,5605,5800,13154
2026-01-30,5800,6200,5705,6200,13448
2026-02-27,6200,7685,5905,7685,47867
2026-03-31,7685,8110,7110,7500,41450
2026-04-30,7500,8995,6620,8995,7141
2026-05-29,9665,11435,8750,11025,15923
2026-06-30,11025,12275,11000,12000,23739
2026-07-31,12120,12120,11000,11900,30337
2026-08-31,11900,13000,11395,12995,32079
2026-09-24,13000,14500,11160,11910,38641
