date,open,high,low,close,volume
2026-06-14,12100,12195,12100,12195,796
2026-06-21,12050,12050,11100,11990,4227
2026-06-25,11990,12150,11900,12000,4302
2026-07-05,11900,12120,11900,12045,10458
2026-07-10,12030,12115,11200,12115,11832
2026-07-17,12000,12000,11260,11300,7042
2026-07-24,11300,12000,11300,11825,6005
2026-07-31,11970,11970,11650,11900,2669
2026-08-07,11900,11900,11400,11900,4711
2026-08-14,11700,11900,11550,11610,7669
2026-08-21,11615,12145,11615,12145,8698
2026-08-29,12145,13000,12000,13000,7479
2026-09-04,13000,13550,12750,13500,14978
2026-09-10,14500,14500,13500,13500,4045
2026-09-18,13255,13255,13150,13150,187
2026-09-24,11165,11910,11165,11910,1772
