date,open,high,low,close,volume
2021-07-26,1780,1800,1780,1800,3189
2021-07-27,1800,1800,1730,1730,555
2021-07-28,1800,1835,1800,1835,735
2021-07-29,1865,1880,1865,1875,2443
2021-07-30,1890,1890,1875,1875,113
2021-08-02,1875,1955,1875,1875,6748
2021-08-03,1900,1900,1850,1850,12097
2021-08-04,1875,1900,1875,1885,2043
2021-08-05,1885,1885,1875,1875,1452
2021-08-06,1950,1950,1945,1945,955
2021-08-10,1875,1900,1875,1900,2653
2021-08-11,1850,1895,1850,1895,18826
2021-08-12,1895,1895,1860,1860,60
2021-08-13,1860,1895,1860,1860,681
2021-08-16,1860,1895,1860,1860,657
2021-08-17,1870,1875,1800,1875,2594
2021-08-18,1860,1885,1735,1800,3195
2021-08-19,1800,1800,1715,1800,216436
2021-08-20,1875,1875,1870,1870,567
2021-08-23,1870,1870,1870,1870,702
2021-08-24,1865,1875,1860,1870,6330
2021-08-25,1865,1870,1860,1870,1267
2021-08-26,1870,1870,1805,1870,416
2021-08-27,1870,2005,1870,2005,6551
2021-08-30,2005,2155,2005,2155,3559
2021-08-31,2160,2315,2000,2315,8173
2021-09-01,2155,2315,2145,2315,2918
2021-09-02,2145,2395,2145,2395,605
2021-09-03,2395,2400,2220,2400,3460
2021-09-06,2400,2400,2220,2395,359
2021-09-07,2390,2395,2350,2395,7127
2021-09-08,2390,2390,2300,2300,645
2021-09-09,2230,2230,2230,2230,632
2021-09-10,2225,2230,2065,2230,607
2021-09-13,2225,2225,2225,2225,55
2021-09-14,2150,2225,2060,2225,841
2021-09-15,2220,2220,2100,2190,2885
2021-09-16,2190,2190,2190,2190,885
2021-09-17,2050,2145,2030,2145,1231
2021-09-20,2100,2100,2055,2100,2335
2021-09-21,2100,2195,2100,2150,2100
2021-09-22,2100,2200,2050,2200,5704
2021-09-23,2200,2200,2035,2050,1219
2021-09-24,2010,2100,1900,2100,6943
2021-09-27,2100,2100,2050,2050,122
2021-09-28,1975,2100,1975,2100,12446
2021-09-29,2005,2255,2005,2255,3719
2021-09-30,2300,2345,2200,2345,2540
2021-10-01,2340,2340,2170,2300,1582
2021-10-04,2295,2295,2290,2290,333
2021-10-05,2285,2300,2285,2300,290
2021-10-06,2300,2300,2290,2290,212
2021-10-07,2290,2290,2120,2290,469
2021-10-08,2290,2290,2290,2290,222
2021-10-11,2290,2290,2150,2290,6024
2021-10-12,2200,2280,2200,2280,123
2021-10-13,2285,2285,2120,2280,751
2021-10-14,2280,2280,2120,2280,703
2021-10-15,2275,2275,2270,2275,170
2021-10-19,2120,2445,2120,2445,5508
2021-10-20,2445,2445,2300,2440,232
2021-10-21,2440,2440,2300,2430,1571
2021-10-22,2280,2430,2280,2430,4105
2021-10-25,2415,2420,2410,2420,757
2021-10-26,2300,2425,2300,2425,3947
2021-10-27,2245,2420,2245,2245,181
2021-10-28,2100,2300,2080,2300,13866
2021-10-29,2250,2300,2130,2300,180
2021-11-03,2100,2200,2085,2200,6514
2021-11-04,2200,2200,2050,2200,467
2021-11-05,2050,2195,2050,2050,878
2021-11-08,2000,2100,2000,2050,1035
2021-11-09,2100,2100,2050,2100,2035
2021-11-10,2130,2200,2100,2200,1292
2021-11-11,2200,2200,2195,2195,880
2021-11-12,2190,2200,2190,2200,601
2021-11-16,2100,2280,2100,2280,3348
2021-11-17,2300,2410,2200,2410,5398
2021-11-18,2350,2350,2230,2350,1212
2021-11-19,2300,2350,2300,2350,2441
2021-11-22,2280,2300,2175,2200,284
2021-11-23,2175,2340,2175,2340,5805
2021-11-24,2340,2430,2165,2430,3485
2021-11-25,2400,2430,2400,2430,146
2021-11-26,2425,2430,2350,2430,1115
2021-11-29,2400,2500,2375,2500,14341
2021-11-30,2500,2500,2320,2450,3229
2021-12-01,2450,2500,2300,2450,6809
2021-12-02,2300,2450,2300,2450,165
2021-12-03,2300,2395,2270,2270,1229
2021-12-06,2270,2395,2270,2390,891
2021-12-07,2350,2350,2300,2300,1203
2021-12-08,2300,2350,2300,2350,4003
2021-12-09,2350,2350,2200,2350,5739
2021-12-10,2180,2400,2175,2400,1124
2021-12-13,2385,2385,2385,2385,90
2021-12-14,2385,2385,2215,2385,34
2021-12-15,2385,2450,2350,2450,5344
2021-12-16,2350,2445,2270,2445,1074
2021-12-17,2350,2445,2350,2445,849
2021-12-20,2270,2445,2270,2445,296
2021-12-21,2445,2445,2270,2440,2157
2021-12-22,2440,2450,2400,2445,1394
2021-12-23,2300,2435,2300,2435,169
2021-12-24,2430,2430,2375,2375,100
2021-12-27,2375,2400,2300,2400,139
2021-12-28,2355,2440,2305,2440,7595
2021-12-29,2300,2440,2300,2440,1063
2021-12-30,2300,2415,2300,2395,3703
2021-12-31,2300,2570,2300,2570,15856
2022-01-03,2570,2760,2570,2760,705
2022-01-04,2740,2760,2555,2575,375
2022-01-05,2575,2575,2565,2565,220
2022-01-06,2555,2560,2555,2560,50
2022-01-07,2525,2525,2370,2370,333
2022-01-10,2530,2530,2530,2530,32
2022-01-11,2530,2530,2480,2480,229
2022-01-12,2325,2475,2300,2475,535
2022-01-13,2400,2400,2400,2400,40
2022-01-14,2280,2345,2280,2345,936
2022-01-17,2280,2340,2200,2340,512
2022-01-18,2340,2340,2300,2300,134
2022-01-19,2270,2345,2270,2345,1365
2022-01-20,2345,2345,2225,2265,2126
2022-01-21,2180,2335,2100,2100,224
2022-01-24,2100,2100,2100,2100,125
2022-01-25,2100,2255,2100,2255,1239
2022-01-26,2205,2255,2205,2255,3840
2022-01-27,2255,2350,2255,2350,924
2022-01-28,2350,2350,2345,2345,2509
2022-01-31,2295,2300,2295,2300,1760
2022-02-01,2130,2300,2130,2300,5422
2022-02-02,2345,2450,2345,2450,1480
2022-02-03,2355,2500,2350,2500,538
2022-02-04,2350,2500,2350,2500,465
