date,open,high,low,close,volume
2021-07-30,1780,1890,1730,1875,7035
2021-08-31,1875,2315,1715,2315,295962
2021-09-30,2155,2400,1900,2345,59378
2021-10-29,2340,2445,2080,2300,41226
2021-11-30,2100,2500,2000,2450,54506
2021-12-31,2450,2570,2175,2570,61026
2022-01-31,2570,2760,2100,2300,18213
2022-02-28,2130,2575,2130,2500,53444
2022-03-31,2450,2495,2155,2400,44515
2022-04-29,2495,2495,2200,2400,77962
2022-05-31,2300,2395,1665,1940,13047
2022-06-30,2000,2000,1645,1650,28745
2022-07-29,1650,2035,1610,2000,64894
2022-08-31,1900,2000,1700,1895,68970
2022-09-30,1850,1890,1700,1815,28062
2022-10-31,1815,1815,1450,1720,87348
2022-11-30,1720,1720,1220,1250,42280
2022-12-30,1230,1490,1115,1395,84841
2023-01-31,1395,1395,1225,1255,48233
2023-02-28,1250,1350,1200,1350,109901
2023-03-31,1345,1590,1300,1450,49481
2023-04-28,1445,1455,1300,1370,25716
2023-05-31,1350,1450,1325,1390,51682
2023-06-30,1390,1545,1235,1545,59023
2023-07-31,1530,1700,1420,1690,109230
2023-08-31,1680,1690,1430,1450,88768
2023-09-29,1455,1610,1420,1610,32241
2023-10-31,1500,1610,1370,1400,27706
2023-11-30,1400,1670,1300,1500,134327
2023-12-29,1445,1570,1350,1350,207024
2024-01-31,1345,1500,1320,1460,244675
2024-02-29,1450,1585,1390,1585,102884
2024-03-29,1495,1600,1470,1600,158401
2024-04-30,1595,1690,1505,1685,102868
2024-05-31,1715,1715,1255,1430,191905
2024-06-28,1425,1425,1210,1275,170777
2024-07-31,1275,1330,1225,1300,145439
2024-08-30,1300,1395,1250,1385,86328
2024-09-30,1385,1490,1300,1485,65290
2024-10-31,1375,1505,1355,1400,102572
2024-11-29,1350,1435,1285,1390,118300
2024-12-31,1390,1440,1230,1340,90143
2025-01-31,1340,1340,1235,1275,54046
2025-02-28,1275,1400,1230,1305,67897
2025-03-28,1330,1425,1300,1390,174230
2025-04-30,1385,1390,1290,1365,85841
2025-05-30,1365,1700,1360,1700,179615
2025-06-30,1700,1700,1400,1425,275525
2025-07-31,1425,1465,1385,1440,82886
2025-08-29,1440,1550,1355,1400,122154
2025-09-30,1420,1550,1350,1490,130059
2025-10-31,1465,1505,1430,1470,411086
2025-11-28,1470,1780,1405,1470,834941
2025-12-31,1450,1550,1345,1515,360061
2026-01-30,1450,1745,1430,1655,168873
2026-02-27,1655,2325,1535,2160,288592
2026-03-31,2185,2185,1700,1920,216309
2026-04-30,1920,1950,1700,1775,193129
2026-05-29,1775,1810,1550,1810,324597
2026-06-30,1845,2620,1825,2445,541226
2026-07-31,2445,2850,2105,2690,346221
2026-08-31,2700,2815,2190,2800,351312
2026-09-24,2775,3250,2615,2800,296386
