date,open,high,low,close,volume
2026-06-14,1980,1980,1980,1980,64114
2026-06-21,2280,2325,2280,2320,138652
2026-06-25,2380,2620,2325,2500,177270
2026-07-05,2550,2550,2370,2435,98743
2026-07-10,2450,2500,2210,2210,75193
2026-07-17,2210,2850,2190,2720,104591
2026-07-24,2820,2820,2760,2760,64788
2026-07-31,2760,2760,2640,2690,48075
2026-08-07,2700,2750,2190,2530,160204
2026-08-14,2530,2795,2530,2775,65836
2026-08-21,2720,2780,2585,2780,96999
2026-08-29,2655,2750,2560,2750,75361
2026-09-04,2750,3205,2750,3205,136437
2026-09-10,3080,3080,3060,3060,19396
2026-09-18,2825,2825,2815,2815,6997
2026-09-24,2615,2800,2615,2800,13074
