date,open,high,low,close,volume
2026-06-13,1590,1590,1570,1570,11482
2026-06-14,1590,1590,1570,1570,11482
2026-06-16,1580,1590,1580,1590,5270
2026-06-17,1510,1520,1510,1520,3547
2026-06-19,1570,1590,1570,1590,1457
2026-06-20,1570,1590,1570,1590,1457
2026-06-21,1570,1590,1570,1590,1457
2026-06-22,1510,1555,1510,1555,4654
2026-06-23,1555,1590,1555,1590,4194
2026-06-24,1570,1570,1555,1555,6382
2026-06-25,1540,1555,1540,1555,1717
2026-06-29,1550,1550,1540,1540,4243
2026-06-30,1540,1540,1535,1535,3112
2026-07-01,1535,1535,1520,1520,2884
2026-07-02,1520,1520,1505,1505,4202
2026-07-03,1515,1515,1500,1500,8097
2026-07-05,1515,1515,1500,1500,8097
2026-07-06,1500,1500,1460,1460,5477
2026-07-07,1460,1460,1445,1445,2748
2026-07-08,1440,1440,1350,1350,8669
2026-07-09,1350,1385,1350,1385,6501
2026-07-10,1395,1455,1395,1455,3212
2026-07-13,1465,1470,1465,1470,3411
2026-07-14,1470,1495,1470,1495,3407
2026-07-15,1550,1550,1535,1535,5388
2026-07-16,1535,1535,1500,1500,2608
2026-07-17,1500,1500,1500,1500,2888
2026-07-20,1400,1410,1400,1410,4303
2026-07-21,1410,1430,1410,1430,4428
2026-07-22,1445,1445,1430,1430,2546
2026-07-23,1430,1520,1430,1520,8238
2026-07-24,1500,1515,1500,1515,8449
2026-07-27,1515,1520,1515,1520,2429
2026-07-28,1540,1540,1500,1500,5656
2026-07-29,1500,1500,1425,1425,5915
2026-07-30,1435,1500,1435,1500,3398
2026-07-31,1500,1500,1485,1485,2355
2026-08-03,1485,1485,1480,1480,2293
2026-08-04,1490,1490,1480,1480,2188
2026-08-05,1480,1480,1450,1450,4433
2026-08-06,1445,1445,1445,1445,1026
2026-08-07,1445,1445,1445,1445,1026
2026-08-10,1480,1500,1480,1500,4368
2026-08-11,1500,1500,1495,1495,5802
2026-08-12,1490,1500,1490,1500,5254
2026-08-13,1455,1495,1455,1495,8404
2026-08-14,1500,1500,1490,1490,2828
2026-08-17,1410,1480,1410,1480,4920
2026-08-18,1480,1590,1480,1590,26683
2026-08-19,1650,1650,1600,1600,23638
2026-08-20,1605,1605,1590,1590,4585
2026-08-21,1575,1575,1550,1550,16584
2026-08-24,1550,1550,1550,1550,3802
2026-08-25,1550,1550,1550,1550,3802
2026-08-26,1550,1550,1500,1500,5232
2026-08-28,1505,1505,1450,1450,8009
2026-08-29,1500,1500,1500,1500,20746
2026-08-31,1505,1550,1505,1550,2796
2026-09-01,1550,1570,1550,1570,1376
2026-09-02,1570,1570,1515,1515,11011
2026-09-03,1520,1520,1500,1500,7948
2026-09-04,1500,1580,1500,1580,6759
2026-09-10,1505,1565,1505,1565,15254
2026-09-18,1495,1495,1495,1495,0
2026-09-24,1495,1495,1495,1495,0
