date,open,high,low,close,volume
2021-07-30,625,630,485,485,163919
2021-08-31,485,630,485,630,62244
2021-09-30,670,775,585,770,54571
2021-10-29,775,800,680,710,44885
2021-11-30,680,720,660,680,5135
2021-12-31,680,765,625,765,59650
2022-01-31,750,770,650,700,11088
2022-02-25,700,760,650,690,23390
2022-03-31,690,740,650,680,43421
2022-04-29,675,720,650,715,48561
2022-05-31,665,790,665,755,23047
2022-06-30,755,755,700,700,4364
2022-07-29,700,755,650,750,12972
2022-08-31,750,770,700,740,12935
2022-09-29,745,750,640,730,8613
2022-10-27,700,740,650,705,4166
2022-11-30,700,700,635,645,3840
2022-12-30,645,745,635,680,7126
2023-01-31,675,695,590,630,1492
2023-02-28,630,700,605,685,8428
2023-03-31,685,695,625,650,3720
2023-04-27,650,695,630,650,1377
2023-05-31,645,720,600,720,3466
2023-06-30,720,720,650,710,2122
2023-07-31,695,695,605,680,48853
2023-08-31,675,675,615,615,6944
2023-09-29,620,725,570,700,16889
2023-10-31,650,690,595,600,31479
2023-11-30,600,775,535,770,465393
2023-12-29,770,835,645,700,307736
2026-01-30,750,1590,750,1590,496811
2026-02-27,1700,2900,1650,2325,332334
2026-03-31,2325,2325,1910,2000,129543
2026-04-30,2000,2000,1560,1600,107005
2026-05-29,1600,1600,1350,1440,88095
2026-06-30,1440,1780,1440,1535,133413
2026-07-31,1535,1550,1340,1485,107209
2026-08-31,1485,1660,1405,1550,153591
2026-09-15,1550,1600,1455,1495,80127
