date,open,high,low,close,volume
2026-06-14,1590,1590,1570,1570,22964
2026-06-21,1580,1590,1510,1590,13188
2026-06-25,1510,1590,1510,1555,16947
2026-07-05,1550,1550,1500,1500,30635
2026-07-10,1500,1500,1350,1455,26607
2026-07-17,1465,1550,1465,1500,17702
2026-07-24,1400,1520,1400,1515,27964
2026-07-31,1515,1540,1425,1485,19753
2026-08-07,1485,1490,1445,1445,10966
2026-08-14,1480,1500,1455,1490,26656
2026-08-21,1410,1650,1410,1550,76410
2026-08-29,1550,1550,1450,1500,41591
2026-09-04,1505,1580,1500,1580,29890
2026-09-10,1505,1565,1505,1565,15254
2026-09-18,1495,1495,1495,1495,0
2026-09-24,1495,1495,1495,1495,0
