date,open,high,low,close,volume
2021-07-26,8600,8600,8600,8600,7
2021-07-27,8510,8600,8500,8600,859
2021-07-28,8550,8975,8550,8600,1472
2021-07-29,8600,8985,8600,8985,22
2021-07-30,8880,8880,8555,8600,327
2021-08-02,8600,8880,8600,8600,198
2021-08-03,8600,8600,8600,8600,1190
2021-08-04,8590,8600,8500,8550,571
2021-08-05,8600,8600,8600,8600,16664
2021-08-06,8590,8590,8540,8540,5064
2021-08-09,8600,8600,8500,8500,23174
2021-08-10,8500,8800,8500,8800,108
2021-08-11,8800,8800,8800,8800,27
2021-08-12,8750,8750,8750,8750,7
2021-08-13,8600,8600,8500,8500,125
2021-08-16,8500,8600,8450,8500,202
2021-08-17,8500,8750,8500,8750,330
2021-08-18,8600,8750,8600,8600,3483
2021-08-19,8505,8600,8500,8600,340
2021-08-20,8500,8600,8500,8600,11
2021-08-23,8650,8750,8600,8600,35
2021-08-24,8750,8750,8600,8750,152
2021-08-25,8750,8750,8750,8750,47
2021-08-26,8750,8750,8600,8600,2540
2021-08-27,8750,8990,8600,8600,73
2021-08-30,8600,8600,8600,8600,98
2021-08-31,8600,8750,8505,8600,81
2021-09-01,8750,8900,8600,8600,237
2021-09-02,8700,8990,8600,8610,3146
2021-09-03,8610,8610,8600,8600,1191
2021-09-06,8500,8600,8500,8600,841
2021-09-07,8600,8605,8600,8605,773
2021-09-08,8990,8990,8650,8950,2280
2021-09-09,9000,9150,9000,9150,165
2021-09-10,9150,9150,9050,9150,931
2021-09-13,9150,9200,9035,9100,236
2021-09-14,9295,9500,9200,9500,521
2021-09-15,9690,9690,9500,9500,454
2021-09-16,9500,9665,9495,9495,190
2021-09-17,9300,9665,9300,9665,124
2021-09-20,10385,10385,9700,9700,246
2021-09-21,9700,10000,9700,9900,789
2021-09-22,9705,10425,9705,9900,86
2021-09-23,10425,10425,9905,9905,280
2021-09-24,9700,10350,9700,10350,935
2021-09-27,9925,10300,9925,10250,30
2021-09-28,10100,10100,10100,10100,8
2021-09-29,10100,10470,10100,10250,795
2021-09-30,10250,10350,10250,10350,235
2021-10-01,10255,10325,10255,10325,468
2021-10-04,10350,10400,10260,10400,285
2021-10-05,10400,11180,10400,11180,140
2021-10-06,10960,11400,10505,10505,112
2021-10-07,11000,11290,11000,11290,190
