date,open,high,low,close,volume
2021-07-30,8600,8985,8500,8600,2687
2021-08-31,8600,8990,8450,8600,54520
2021-09-30,8750,10470,8500,10350,14493
2021-10-29,10255,11815,10255,10500,10958
2021-11-30,10500,11605,10100,11500,42720
2021-12-31,11600,11605,10185,10595,31093
2022-01-31,10500,11200,10290,11200,29477
2022-02-28,11210,13900,10805,12995,51367
2022-03-31,12505,13500,12100,13000,76260
2022-04-29,13105,14500,13100,13800,23692
2022-05-31,13505,15480,13505,15005,24528
2022-06-30,15005,15500,14000,14800,38836
2022-07-29,14800,15000,14115,14400,20206
2022-08-31,14400,14700,14200,14200,29047
2022-09-30,14200,14200,13000,13495,18993
2022-10-31,13495,13500,12000,12000,28639
2022-11-30,12000,12010,10000,11500,83773
2022-12-30,11505,12500,11005,11605,12720
2023-01-31,11600,12400,10640,12290,34449
2023-02-28,12000,13975,11500,13850,45865
2023-03-31,13900,14000,13550,13860,29375
2023-04-28,13900,14150,13600,13900,22051
2023-05-31,13950,15005,12870,14450,24123
2023-06-30,13900,16200,13900,15500,37786
2023-07-31,15490,16425,15200,16000,27675
2023-08-31,16000,16665,15700,16100,27248
2023-09-29,16100,18810,15905,16400,33650
2023-10-31,16500,16700,15995,16100,30990
2023-11-30,16005,17000,16000,16490,27723
2023-12-29,16400,16500,15605,16050,27498
2024-01-31,16200,16900,15755,15905,12244
2024-02-29,15915,18275,15900,17750,36184
2024-03-29,17750,17750,16200,17000,22205
2024-04-30,17300,19100,17200,17900,43901
2024-05-31,17900,19550,17550,19400,32274
2024-06-28,19400,20835,19005,19015,21294
2024-07-31,19025,21275,19025,20500,37013
2024-08-30,20155,20500,18965,20300,34907
2024-09-30,20350,20750,19400,19400,43823
2024-10-31,19500,20200,18150,19800,364892
2024-11-29,19800,20800,19110,19900,38873
2024-12-31,19900,21490,19000,21000,39606
2025-01-31,20030,20990,18900,20895,23149
2025-02-28,20895,22500,20500,22005,68911
2025-03-28,22400,22500,20505,21900,49756
2025-04-30,21900,22510,21500,21900,23909
2025-05-30,21900,22200,20165,22000,61813
2025-06-30,22000,24900,21850,24850,69280
2025-07-31,24000,27500,24000,25000,34826
2025-08-29,24860,26000,23600,26000,45972
2025-09-30,26000,28000,26000,27000,23786
2025-10-31,27000,28105,26205,27700,31663
2025-11-28,27500,28200,26000,26500,110553
2025-12-31,26515,30685,26500,29895,46991
2026-01-30,29875,31495,27205,31000,82112
2026-02-27,31195,37895,29770,37450,36375
2026-03-31,37000,37500,34000,34500,73534
2026-04-30,34500,36000,31000,34095,149581
2026-05-29,32995,37000,31980,37000,56417
2026-06-30,37000,39340,35995,38965,116107
2026-07-31,39000,39500,37000,38000,76768
2026-08-31,38015,40000,37900,38000,118124
2026-09-24,38000,39500,37500,38800,127410
