date,open,high,low,close,volume
2026-06-14,39000,39000,38995,38995,11208
2026-06-21,39000,39150,38800,39150,19831
2026-06-25,39210,39210,38875,38995,15854
2026-07-05,39050,39050,37000,37000,22699
2026-07-10,38000,39400,38000,39000,9208
2026-07-17,39000,39000,37995,37995,10971
2026-07-24,38000,38150,37995,38000,20741
2026-07-31,38200,39000,37950,38000,24574
2026-08-07,38015,38400,37900,38000,20086
2026-08-14,38300,39200,38300,39000,25878
2026-08-21,39000,40000,39000,39195,38295
2026-08-29,39000,39000,38000,38000,38135
2026-09-04,38000,38500,38000,38500,29992
2026-09-10,38900,38900,38870,38870,2499
2026-09-18,38025,38800,38025,38800,746
2026-09-24,37900,38800,37900,38800,4736
