date,open,high,low,close,volume
2026-06-13,2085,2085,2080,2080,1908
2026-06-14,2085,2085,2080,2080,1908
2026-06-16,2080,2080,2040,2040,4606
2026-06-17,2050,2085,2050,2085,1011
2026-06-19,2200,2200,2170,2170,2656
2026-06-20,2200,2200,2170,2170,2656
2026-06-21,2200,2200,2170,2170,2656
2026-06-22,2170,2170,2170,2170,2680
2026-06-23,2140,2160,2140,2160,3168
2026-06-24,2160,2160,2160,2160,2884
2026-06-25,2160,2165,2160,2165,2364
2026-06-29,2105,2170,2105,2170,5380
2026-06-30,2170,2170,2165,2165,9371
2026-07-01,2180,2190,2180,2190,2147
2026-07-02,2180,2200,2180,2200,2207
2026-07-03,2200,2200,2195,2195,1670
2026-07-05,2200,2200,2195,2195,1670
2026-07-06,2200,2200,2200,2200,3698
2026-07-07,2200,2265,2200,2265,9066
2026-07-08,2265,2265,2200,2200,4455
2026-07-09,2200,2200,2200,2200,7403
2026-07-10,2200,2205,2200,2205,7716
2026-07-13,2205,2205,2200,2200,3227
2026-07-14,2155,2200,2155,2200,6802
2026-07-15,2200,2200,2170,2170,3390
2026-07-16,2170,2200,2170,2200,1513
2026-07-17,2200,2200,2190,2190,5734
2026-07-20,2180,2180,2105,2105,4291
2026-07-21,2200,2200,2200,2200,3711
2026-07-22,2200,2205,2200,2205,3073
2026-07-23,2205,2210,2205,2210,2882
2026-07-24,2210,2210,2195,2195,2173
2026-07-27,2195,2195,2110,2110,2607
2026-07-28,2110,2150,2110,2150,6057
2026-07-29,2160,2195,2160,2195,4364
2026-07-30,2200,2200,2200,2200,4691
2026-07-31,2040,2200,2040,2200,2141
2026-08-03,2240,2325,2240,2325,5795
2026-08-04,2325,2325,2325,2325,4852
2026-08-05,2340,2340,2300,2300,2414
2026-08-06,2300,2300,2290,2290,2066
2026-08-07,2300,2300,2290,2290,2066
2026-08-10,2290,2290,2290,2290,7590
2026-08-11,2300,2300,2285,2285,4425
2026-08-12,2275,2275,2250,2250,3215
2026-08-13,2200,2200,2200,2200,5842
2026-08-14,2200,2200,2200,2200,1596
2026-08-17,2250,2350,2250,2350,10197
2026-08-18,2350,2400,2350,2400,4174
2026-08-19,2400,2400,2400,2400,3447
2026-08-20,2500,2500,2450,2450,4795
2026-08-21,2450,2460,2450,2460,5653
2026-08-24,2460,2480,2460,2480,4144
2026-08-25,2460,2480,2460,2480,4144
2026-08-26,2480,2480,2455,2455,6346
2026-08-28,2455,2455,2450,2450,6457
2026-08-29,2350,2440,2350,2440,3303
2026-08-31,2440,2440,2425,2425,2987
2026-09-01,2420,2435,2420,2435,5805
2026-09-02,2435,2435,2400,2400,6601
2026-09-03,2400,2400,2400,2400,18839
2026-09-04,2400,2400,2400,2400,7664
2026-09-10,2400,2495,2400,2495,9954
2026-09-18,2980,2980,2980,2980,1935
2026-09-24,2350,2475,2350,2475,8095
