date,open,high,low,close,volume
2021-07-30,710,750,700,710,6556
2021-08-06,750,750,710,740,7761
2021-08-13,715,740,700,730,11113
2021-08-20,730,750,705,715,8390
2021-08-27,745,770,720,765,9283
2021-09-03,765,835,765,805,9577
2021-09-10,805,870,805,870,27143
2021-09-17,870,870,835,850,32400
2021-09-24,845,895,840,895,31577
2021-10-01,895,950,870,875,16197
2021-10-08,895,895,835,845,14789
2021-10-15,850,950,835,915,24847
2021-10-22,915,1060,875,1060,18054
2021-10-29,1055,1055,965,1035,28260
2021-11-05,960,960,825,825,15121
2021-11-12,835,840,775,840,15004
2021-11-19,840,910,800,890,10186
2021-11-26,850,890,825,845,6593
2021-12-03,850,910,830,900,19577
2021-12-10,900,900,830,830,13369
2021-12-17,830,885,790,845,14138
2021-12-24,840,885,810,880,13928
2021-12-31,880,880,850,860,5794
2022-01-07,860,895,845,845,9424
2022-01-14,845,890,830,870,15952
2022-01-21,845,850,825,845,8683
2022-01-28,840,900,815,860,34561
2022-02-04,865,940,850,940,20543
2022-02-11,900,1000,900,950,52383
2022-02-18,950,950,910,945,8977
2022-02-25,945,945,910,935,5884
2022-03-04,935,935,905,905,39992
2022-03-11,915,945,910,945,14337
2022-03-18,945,945,915,940,8250
2022-03-25,935,935,910,935,3967
2022-04-01,940,940,915,920,7900
2022-04-08,905,930,850,890,18512
2022-04-15,880,935,850,920,16811
2022-04-22,920,935,900,905,5648
2022-04-29,905,915,900,900,4027
2022-05-06,895,895,815,855,8549
2022-05-13,850,850,775,790,3376
2022-05-20,790,880,790,860,4161
2022-05-27,850,860,815,815,2048
2022-06-03,815,850,810,810,1862
2022-06-10,850,860,810,860,3075
2022-06-17,860,865,810,860,5202
2022-06-24,850,860,800,860,5765
2022-07-01,860,860,810,850,1895
2022-07-08,810,950,810,900,3755
2022-07-15,900,900,860,895,2327
2022-07-22,900,900,850,895,3813
2022-07-29,895,900,850,890,17457
2022-08-05,895,895,855,895,2033
2022-08-12,895,895,850,865,2377
2022-08-19,865,895,850,850,5424
2022-08-26,850,895,810,850,3484
2022-09-02,875,875,810,840,3520
2022-09-09,850,895,850,895,9633
2022-09-16,895,895,860,885,2497
2022-09-23,870,885,850,885,3976
2022-09-30,885,890,810,875,2798
2022-10-07,870,875,810,870,7034
2022-10-14,870,870,830,860,4338
2022-10-21,850,890,835,865,5986
2022-10-28,880,885,865,875,4006
2022-11-04,870,870,840,850,38094
2022-11-11,800,850,800,800,2425
2022-11-18,750,830,750,820,6230
2022-11-25,830,830,750,770,3128
2022-12-02,770,780,710,710,1468
2022-12-09,700,725,675,725,6908
2022-12-16,755,770,710,760,7689
2022-12-23,760,800,735,795,2984
2022-12-30,795,795,735,750,2047
2023-01-06,750,770,710,760,3065
2023-01-13,800,800,750,750,6449
2023-01-20,750,760,700,750,3413
2023-01-27,745,795,740,795,8294
2023-02-03,795,800,745,780,2797
2023-02-10,780,800,780,795,3318
2023-02-17,755,820,755,800,5427
2023-02-24,805,805,750,800,5349
2023-03-03,800,800,740,795,2540
2023-03-10,790,800,750,800,3522
2023-03-17,800,850,750,830,12171
2023-03-24,830,830,790,800,3629
2023-03-31,800,800,750,790,3121
2023-04-07,790,790,735,740,1387
2023-04-14,730,735,700,730,9453
2023-04-20,710,730,705,705,1840
2023-04-28,705,705,635,650,23096
2023-05-05,650,705,650,695,5857
2023-05-12,705,705,690,700,8753
2023-05-19,705,705,680,685,4956
2023-05-26,690,690,650,650,21878
2023-06-02,675,690,630,660,24037
2023-06-09,690,700,660,690,17126
2023-06-16,690,795,650,790,15212
2023-06-23,770,800,755,790,8616
2023-06-30,800,800,715,755,7956
2023-07-07,755,770,715,760,14397
2023-07-14,760,790,750,780,32091
2023-07-21,780,800,770,780,6832
2023-07-28,780,790,765,770,16881
2023-08-04,765,850,750,750,12647
2023-08-11,750,780,750,780,8356
2023-08-18,780,780,750,770,8819
2023-08-25,775,775,755,765,8608
2023-09-01,765,785,755,775,5135
2023-09-08,790,795,755,795,5423
2023-09-15,795,850,775,810,5368
2023-09-22,810,820,770,815,8799
2023-09-29,815,875,775,845,19735
2023-10-06,800,845,785,840,1890
2023-10-13,845,850,800,800,8463
2023-10-20,800,845,800,820,9456
2023-10-27,820,830,805,815,6254
2023-11-03,830,830,805,815,6199
2023-11-10,805,840,805,805,22841
2023-11-17,805,835,805,805,1064
2023-11-24,810,840,805,830,1379
2023-12-01,830,830,805,830,1741
2023-12-08,810,830,805,815,6949
2023-12-15,815,820,800,810,9709
2023-12-22,810,830,770,800,2149
2023-12-29,695,795,695,790,6851
2024-01-05,790,795,755,785,1543
2024-01-12,785,800,750,755,21401
2024-01-19,755,755,700,750,3616
2024-01-26,755,800,750,795,1718
2024-02-02,790,800,785,800,1771
2024-02-09,810,810,750,755,9121
2024-02-16,765,810,765,780,1367
2024-02-23,760,800,725,730,5654
2024-03-01,780,780,750,770,390
2024-03-08,770,775,715,765,4187
2024-03-15,715,770,715,765,38230
2024-03-22,765,800,750,800,36072
2024-03-29,795,800,765,795,10447
2024-04-05,795,800,755,775,12746
2024-04-12,765,795,765,780,29033
2024-04-19,755,795,735,770,29158
2024-04-26,770,775,735,770,2816
2024-05-03,740,780,725,760,1147
