date,open,high,low,close,volume
2026-06-13,8850,8850,8820,8820,9109
2026-06-14,8850,8850,8820,8820,9109
2026-06-16,8790,8790,8650,8650,7217
2026-06-17,8650,8650,8650,8650,32068
2026-06-19,8800,8845,8800,8845,10633
2026-06-20,8800,8845,8800,8845,10633
2026-06-21,8800,8845,8800,8845,10633
2026-06-22,8850,8850,8840,8840,9635
2026-06-23,8840,8845,8840,8845,20643
2026-06-24,8860,8860,8845,8845,16346
2026-06-25,8800,8890,8800,8890,5429
2026-06-29,8890,8895,8890,8895,5464
2026-06-30,8950,8950,8890,8890,8326
2026-07-01,8890,9015,8890,9015,3484
2026-07-02,9405,9405,9000,9000,11531
2026-07-03,8890,8890,8860,8860,10995
2026-07-05,8890,8890,8860,8860,10995
2026-07-06,8810,9000,8810,9000,8302
2026-07-07,9000,9000,9000,9000,11143
2026-07-08,9000,9000,8975,8975,3353
2026-07-09,8980,9000,8980,9000,10267
2026-07-10,9000,9000,8950,8950,5513
2026-07-13,8900,8990,8900,8990,17916
2026-07-14,8990,8990,8900,8900,20226
2026-07-15,8900,8900,8700,8700,7675
2026-07-16,8800,8800,8700,8700,15195
2026-07-17,8650,8760,8650,8760,23204
2026-07-20,8750,8805,8750,8805,6896
2026-07-21,8815,8855,8815,8855,12924
2026-07-22,8900,8900,8800,8800,4671
2026-07-23,8800,8800,8650,8650,9710
2026-07-24,8900,8900,8900,8900,10569
2026-07-27,8900,9100,8900,9100,5201
2026-07-28,9100,9100,9100,9100,3150
2026-07-29,9100,9250,9100,9250,3226
2026-07-30,9155,9155,8700,8700,5051
2026-07-31,9000,9000,9000,9000,9484
2026-08-03,8800,8800,8800,8800,4617
2026-08-04,9000,9300,9000,9300,13314
2026-08-05,9300,9300,9250,9250,7575
2026-08-06,9250,9300,9250,9300,2688
2026-08-07,9250,9300,9250,9300,2688
2026-08-10,9250,9320,9250,9320,6439
2026-08-11,9300,9500,9300,9500,9893
2026-08-12,9300,9300,9120,9120,13236
2026-08-13,9120,9120,9100,9100,14361
2026-08-14,9100,9175,9100,9175,2638
2026-08-17,9200,9300,9200,9300,7437
2026-08-18,9200,9285,9200,9285,10604
2026-08-19,9280,9280,9200,9200,15052
2026-08-20,9205,9205,9100,9100,19390
2026-08-21,9050,9050,9000,9000,8779
2026-08-24,9000,9100,9000,9100,17227
2026-08-25,9000,9100,9000,9100,17227
2026-08-26,9100,9150,9100,9150,10570
2026-08-28,9155,9200,9155,9200,2436
2026-08-29,9100,9200,9100,9200,9620
2026-08-31,9200,9200,9000,9000,25581
2026-09-01,9100,9200,9100,9200,43584
2026-09-02,9195,9300,9195,9300,11461
2026-09-03,9300,9300,9300,9300,5367
2026-09-04,9300,9300,9200,9200,49736
2026-09-10,9200,9225,9200,9225,14533
2026-09-18,9000,9090,9000,9090,2391
2026-09-24,8000,8900,8000,8900,21495
