date,open,high,low,close,volume
2026-06-14,8850,8850,8820,8820,18218
2026-06-21,8790,8845,8650,8845,71184
2026-06-25,8850,8890,8800,8890,52053
2026-07-05,8890,9405,8860,8860,50795
2026-07-10,8810,9000,8810,8950,38578
2026-07-17,8900,8990,8650,8760,84216
2026-07-24,8750,8900,8650,8900,44770
2026-07-31,8900,9250,8700,9000,26112
2026-08-07,8800,9300,8800,9300,30882
2026-08-14,9250,9500,9100,9175,46567
2026-08-21,9200,9300,9000,9000,61262
2026-08-29,9000,9200,9000,9200,57080
2026-09-04,9200,9300,9000,9200,135729
2026-09-10,9200,9225,9200,9225,14533
2026-09-18,9000,9090,9000,9090,2391
2026-09-24,8000,8900,8000,8900,21495
