date,open,high,low,close,volume
2021-07-30,3710,3980,3450,3980,398
2021-08-31,4000,5735,3600,4250,3068
2021-09-30,4250,6340,4120,6340,2108
2021-10-29,6815,7870,5500,6475,3113
2021-11-30,6470,7400,4600,4600,1625
2021-12-31,4600,5500,4255,5120,761
2022-01-31,5120,5910,4700,4820,391
2022-02-28,5170,5775,4840,5775,301
2022-03-31,5775,6100,5000,5630,1148
2022-04-29,6000,7525,5880,6475,882
2022-05-31,6800,9710,6800,9710,692
2022-06-30,9900,12135,9900,11485,103
2022-07-29,11485,12355,5055,5500,3870
2022-08-31,5465,7280,5200,6270,2330
2022-09-29,6740,9510,5980,5980,1683
2022-10-31,6425,7530,6010,6425,904
2022-11-29,6425,6945,5945,6700,189
2022-12-29,6200,6665,5320,5405,606
2023-01-30,5405,6625,5405,5750,189
2023-02-28,5750,6550,5750,6475,41
2023-03-31,6470,6470,5945,5945,333
2023-04-24,5800,6395,5800,6365,91
2023-05-19,6320,6320,6315,6315,28
2023-06-15,5850,5850,5495,5495,80
2023-07-28,5495,6775,5495,6305,130
2023-08-31,6295,6300,5325,5720,121
2023-09-28,6145,6145,5005,5005,165
2023-10-31,5005,5760,5000,5500,262
2023-11-30,5090,5090,3580,3580,635
2023-12-29,3580,3600,2620,3025,860
2024-01-24,3250,3580,3250,3400,390
2024-02-29,3655,3655,3600,3600,127
2024-03-25,3600,3655,3600,3650,251
2024-04-24,3650,3650,3650,3650,39
2024-05-29,3650,3650,3635,3635,65
2024-06-27,3635,3635,3000,3145,150
2024-07-29,3145,3200,3000,3000,136
2024-08-28,3000,3010,2800,2810,157
2024-09-30,2830,3020,2825,2825,177
2024-10-31,2825,3225,2775,3225,164
2024-11-27,3210,3705,3210,3450,88
2024-12-31,3705,4000,3700,4000,405
2025-01-31,4005,4275,3715,3940,512
2025-02-28,3940,4000,3645,3645,510
2025-03-28,3645,3645,3370,3645,1069
2025-04-30,3375,3645,3285,3290,1610
2025-05-30,3290,3545,3100,3350,1421
2025-06-30,3450,3450,3105,3320,969
2025-07-31,3310,3800,3065,3210,1158
2025-08-29,3210,4000,3210,4000,5747
2025-09-30,3935,4000,3480,3480,875
2025-10-31,3480,3600,3300,3500,1157
2025-11-27,3300,3640,3150,3640,1544
2025-12-31,3390,3640,3245,3300,3065
2026-01-30,3300,3820,3295,3810,1381
2026-02-27,3810,4300,3525,4300,5057
2026-03-31,4300,4300,3710,4045,1065
2026-04-30,4045,4355,3750,4290,2688
2026-05-29,4280,4650,4280,4280,1688
2026-06-30,4275,4835,4270,4600,2024
2026-07-31,4380,6450,4380,6400,1835
2026-08-31,6400,10200,6400,8295,5342
2026-09-15,8295,8500,7680,8400,854
