date,open,high,low,close,volume
2021-07-30,3710,3980,3450,3980,398
2021-08-06,4000,4965,4000,4965,836
2021-08-13,4960,5735,4565,4905,854
2021-08-20,4565,4565,3890,3890,702
2021-08-27,4000,4275,3600,4275,615
2021-09-03,4300,4450,3955,4250,407
2021-09-10,4250,4450,4120,4425,396
2021-09-17,4425,4755,4425,4755,13
2021-10-01,4755,6815,4730,6815,1398
2021-10-08,7325,7870,6230,6230,599
2021-10-15,6200,6695,5500,5600,792
2021-10-22,5600,6940,5505,6050,908
2021-10-29,6050,7000,6050,6475,769
2021-11-05,6470,7400,6440,7400,8
2021-11-11,7400,7400,6335,6805,210
2021-11-19,6665,6665,5800,5800,318
2021-11-26,5365,6665,4970,4970,877
2021-12-03,5200,5200,4255,4675,278
2021-12-10,4350,5050,4350,4415,360
2021-12-17,4745,5495,4415,4800,126
2021-12-24,4760,5500,4440,5090,95
2021-12-31,4900,5490,4750,5120,114
2022-01-07,5120,5910,5120,5785,163
2022-01-13,5785,5845,4950,4950,105
2022-01-19,4950,4950,4700,4700,69
2022-01-28,4800,4810,4800,4810,32
2022-02-04,5050,5170,4820,4840,104
2022-02-11,4855,4865,4850,4855,92
2022-02-18,4855,5320,4855,5320,85
2022-02-25,5500,5775,5000,5775,40
2022-03-04,5775,5775,5000,5000,153
2022-03-11,5000,5370,5000,5075,202
2022-03-18,5425,5860,5000,5050,131
2022-03-25,5420,5825,5130,5390,252
2022-04-01,5700,6100,5630,6000,429
2022-04-07,5880,6700,5880,6700,270
2022-04-15,6900,7200,6200,6200,207
2022-04-22,6200,7525,6200,7000,261
2022-04-29,7400,7525,6475,6475,127
2022-05-06,6800,8085,6800,8085,119
2022-05-13,8100,8425,8000,8200,486
2022-05-20,8300,8860,8150,8860,57
2022-05-24,9035,9035,9035,9035,6
2022-06-01,9035,9900,9035,9900,40
2022-06-09,10100,10300,10100,10300,7
2022-06-17,10505,11290,10505,11290,14
2022-06-24,11515,12135,11515,12135,13
2022-06-30,11490,11490,11485,11485,53
2022-07-08,11485,11495,10625,11495,822
2022-07-15,10640,12355,9800,10585,702
2022-07-22,10585,11375,7395,7395,1414
2022-07-29,7395,7395,5055,5500,932
2022-08-05,5465,5910,5465,5505,633
2022-08-12,5900,5900,5200,5210,601
2022-08-19,5500,5600,5230,5595,168
2022-08-26,5895,7275,5890,6305,601
2022-09-02,6775,7280,6270,7230,329
2022-09-09,7230,9510,6800,9505,689
2022-09-16,9505,9505,6460,6460,739
2022-09-22,6460,6775,5985,6330,180
2022-09-29,6350,6355,5980,5980,73
2022-10-07,6425,7045,6425,7045,42
2022-10-14,7500,7530,6010,6010,583
2022-10-21,6460,6975,6285,6975,165
2022-10-27,6975,6975,6455,6945,103
2022-11-04,6425,6425,5945,5945,85
2022-11-11,6390,6555,6000,6000,26
2022-11-18,6000,6450,6000,6000,35
2022-11-24,6000,6945,6000,6935,49
2022-12-02,6740,6740,6200,6665,57
2022-12-09,6200,6200,6000,6200,46
2022-12-16,6000,6450,5735,5735,210
2022-12-23,6165,6280,5750,5750,164
2022-12-29,6180,6180,5320,5405,134
2023-01-06,5405,6220,5405,6200,66
2023-01-10,6200,6200,6200,6200,10
2023-01-18,6625,6625,5740,5745,40
2023-01-27,5745,6600,5740,5740,53
2023-02-02,5740,6170,5740,5750,37
2023-02-17,6175,6175,5780,5780,7
2023-02-24,6145,6145,6100,6100,7
2023-02-28,6550,6550,6100,6475,10
