date,open,high,low,close,volume
2026-06-13,2835,2835,2830,2830,2645
2026-06-14,2835,2835,2830,2830,2645
2026-06-16,2800,2800,2795,2795,2314
2026-06-17,2790,2795,2790,2795,3492
2026-06-19,2770,2770,2640,2640,24152
2026-06-20,2770,2770,2640,2640,24152
2026-06-21,2770,2770,2640,2640,24152
2026-06-22,2445,2445,2445,2445,11613
2026-06-23,2305,2625,2305,2625,25768
2026-06-24,2790,2790,2730,2730,4008
2026-06-25,2730,2730,2650,2650,5894
2026-06-29,2600,2600,2575,2575,8096
2026-06-30,2575,2575,2500,2500,6817
2026-07-01,2500,2500,2455,2455,6010
2026-07-02,2455,2455,2430,2430,6980
2026-07-03,2400,2400,2355,2355,4866
2026-07-05,2400,2400,2355,2355,4866
2026-07-06,2355,2355,2335,2335,9970
2026-07-07,2305,2305,2160,2160,11552
2026-07-08,2000,2000,2000,2000,6010
2026-07-09,1850,1920,1850,1920,22833
2026-07-10,1900,2060,1900,2060,15169
2026-07-13,2210,2210,2210,2210,2714
2026-07-14,2375,2375,2375,2375,13087
2026-07-15,2550,2550,2530,2530,10595
2026-07-16,2520,2520,2345,2345,6261
2026-07-17,2170,2400,2170,2400,16842
2026-07-20,2250,2300,2250,2300,2943
2026-07-21,2300,2300,2160,2160,11976
2026-07-22,2170,2250,2170,2250,1340
2026-07-23,2295,2295,2250,2250,2394
2026-07-24,2250,2250,2250,2250,4484
2026-07-27,2250,2250,2240,2240,2348
2026-07-28,2235,2235,2185,2185,2614
2026-07-29,2190,2200,2190,2200,5018
2026-07-30,2200,2200,2195,2195,1750
2026-07-31,2200,2200,2200,2200,5877
2026-08-03,2200,2200,2200,2200,3414
2026-08-04,2200,2200,2150,2150,2266
2026-08-05,2150,2150,2075,2075,4894
2026-08-06,2075,2125,2075,2125,4737
2026-08-07,2075,2125,2075,2125,4737
2026-08-10,2195,2280,2195,2280,8372
2026-08-11,2450,2450,2430,2430,6068
2026-08-12,2430,2430,2400,2400,1713
2026-08-13,2400,2410,2400,2410,2912
2026-08-14,2430,2430,2430,2430,910
2026-08-17,2430,2430,2410,2410,3162
2026-08-18,2410,2410,2390,2390,1573
2026-08-19,2255,2350,2255,2350,1185
2026-08-20,2390,2390,2380,2380,2800
2026-08-21,2270,2370,2270,2370,1122
2026-08-24,2370,2380,2370,2380,3837
2026-08-25,2370,2380,2370,2380,3837
2026-08-26,2380,2380,2365,2365,2475
2026-08-28,2365,2365,2365,2365,8795
2026-08-29,2305,2310,2305,2310,906
2026-08-31,2310,2330,2310,2330,2649
2026-09-01,2350,2385,2350,2385,4502
2026-09-02,2390,2425,2390,2425,3891
2026-09-03,2450,2450,2400,2400,16264
2026-09-04,2400,2400,2330,2330,5112
2026-09-10,2335,2335,2305,2305,1342
2026-09-18,2215,2215,2210,2210,527
2026-09-24,1975,2090,1975,2090,1839
