date,open,high,low,close,volume
2021-07-30,465,470,450,450,7068
2021-08-31,450,465,425,460,8132
2021-09-30,465,625,440,625,28738
2021-10-29,625,670,600,615,12402
2021-11-30,615,615,600,600,21266
2021-12-31,600,900,570,895,188821
2022-01-31,895,960,775,875,14493
2022-02-28,875,1000,695,700,293211
2022-03-31,750,920,650,890,185052
2022-04-29,890,890,770,840,38812
2022-05-31,830,885,825,825,20930
2022-06-30,825,865,825,850,11581
2022-07-29,850,850,825,830,7228
2022-08-31,830,840,750,750,11762
2022-09-30,750,975,645,845,103027
2022-10-28,845,950,785,800,21775
2022-11-30,855,865,730,730,7494
2022-12-30,730,760,625,675,10148
2023-01-31,675,715,600,710,30998
2023-02-28,700,750,660,700,9436
2023-03-31,655,710,600,625,21687
2023-04-28,625,635,585,630,12609
2023-05-31,600,630,550,600,12896
2023-06-30,600,605,550,600,12741
2023-07-31,585,585,550,570,6997
2023-08-31,570,570,510,550,5499
2023-09-29,510,550,500,500,8744
2023-10-31,500,635,495,600,19793
2023-11-30,600,925,515,820,186297
2023-12-29,820,850,650,830,185288
2024-01-31,830,845,760,820,96779
2024-02-28,810,820,755,815,6539
2024-03-29,760,815,750,805,5504
2024-04-30,800,805,740,740,6556
2024-05-31,740,740,600,645,2999
2024-06-28,600,640,455,500,33347
2024-07-31,500,545,455,545,124503
2024-08-30,545,720,545,650,58096
2024-09-30,650,650,500,535,80644
2024-10-31,560,560,475,520,70000
2024-11-29,520,540,485,515,32455
2024-12-31,515,530,475,500,15839
2025-01-31,500,510,450,480,8308
2025-02-28,495,510,455,510,15229
2025-03-28,510,520,475,510,52968
2025-04-30,505,510,460,500,109332
2025-05-30,500,610,480,545,95735
2025-06-30,530,565,505,535,31467
2025-07-31,535,540,500,510,44416
2025-08-29,525,600,510,600,51873
2025-09-30,600,720,585,680,110587
2025-10-31,690,720,600,700,237748
2025-11-28,695,720,660,715,74983
2025-12-31,665,1870,660,1580,381205
2026-01-30,1695,2200,1575,2150,165296
2026-02-27,2150,3040,2040,3000,211979
2026-03-31,2995,3020,2500,2950,209949
2026-04-30,2950,3215,2650,2785,80122
2026-05-29,2780,2900,2650,2875,70321
2026-06-30,2875,2875,2305,2500,157868
2026-07-31,2500,2550,1850,2200,173633
2026-08-31,2200,2455,2075,2330,63790
2026-09-24,2350,2500,1955,2090,90127
