date,open,high,low,close,volume
2021-07-30,465,470,450,450,7068
2021-08-05,450,465,425,465,2173
2021-08-13,465,465,435,460,1308
2021-08-20,460,460,450,455,1385
2021-08-27,460,465,450,460,3092
2021-09-03,460,465,460,460,1588
2021-09-10,455,460,440,455,2886
2021-09-16,455,455,455,455,423
2021-09-24,460,500,460,500,15544
2021-10-01,535,670,535,670,8816
2021-10-08,670,670,600,615,3692
2021-10-15,610,645,600,635,5348
2021-10-22,615,640,610,610,1835
2021-10-29,600,635,600,615,1182
2021-11-05,615,615,600,615,694
2021-11-12,610,615,600,615,6859
2021-11-19,605,615,600,600,4709
2021-11-26,600,615,600,610,8597
2021-12-03,605,610,570,610,1184
2021-12-10,600,615,580,580,6719
2021-12-17,585,585,580,580,496
2021-12-24,585,815,585,815,91709
2021-12-31,815,900,775,895,89120
2022-01-07,895,960,835,880,5610
2022-01-14,880,925,775,830,3447
2022-01-21,815,875,780,875,2644
2022-01-28,875,925,855,925,2364
2022-02-03,925,925,875,900,2000
2022-02-11,835,920,720,770,97129
2022-02-18,825,1000,765,1000,174773
2022-02-25,960,1000,695,695,15359
2022-03-04,745,920,650,920,89700
2022-03-11,910,920,780,835,81658
2022-03-18,840,895,750,805,4223
2022-03-25,805,805,765,795,2955
2022-04-01,795,890,795,840,12032
2022-04-08,840,845,800,840,12595
2022-04-15,845,845,780,825,1712
2022-04-22,825,825,770,810,5029
2022-04-29,800,885,800,840,18338
2022-05-06,830,885,825,885,10708
2022-05-13,885,885,825,880,3242
2022-05-20,830,850,825,825,3113
2022-05-27,850,850,825,825,2412
2022-06-03,825,870,825,855,3457
2022-06-10,850,850,825,825,4876
2022-06-17,825,850,825,850,2205
2022-06-24,850,850,825,845,1267
2022-07-01,850,850,830,850,1276
2022-07-08,850,850,835,835,501
2022-07-14,835,850,830,835,673
2022-07-22,830,845,825,845,3843
2022-07-29,840,840,825,830,2166
2022-08-05,830,840,825,840,1167
2022-08-12,835,840,825,825,1327
2022-08-18,820,830,750,830,5651
2022-08-26,825,825,810,810,1155
2022-09-02,810,810,750,750,4239
2022-09-09,780,780,750,770,1621
2022-09-16,770,770,680,770,1687
2022-09-23,770,800,645,800,80235
2022-09-30,740,975,740,845,17707
2022-10-07,845,895,785,895,6210
2022-10-14,835,950,835,865,10660
2022-10-21,860,860,840,860,4293
2022-10-28,835,860,800,800,612
2022-11-04,855,865,800,800,4479
2022-11-11,800,800,795,795,424
2022-11-17,795,860,795,860,907
2022-11-25,860,860,740,785,496
2022-12-02,785,785,700,700,2142
2022-12-09,700,760,700,740,786
2022-12-16,730,730,695,695,2334
2022-12-23,695,695,650,695,4651
2022-12-30,695,715,625,675,1423
2023-01-06,675,675,610,625,4167
2023-01-13,625,670,620,620,7532
2023-01-20,620,700,600,700,16568
2023-01-27,650,715,650,710,1665
2023-02-03,700,720,660,720,4503
2023-02-10,750,750,720,735,1554
2023-02-17,740,740,680,730,3504
2023-02-24,730,730,670,710,890
2023-03-03,700,700,655,700,745
2023-03-09,650,710,650,690,7636
2023-03-17,685,690,620,640,4126
2023-03-24,635,640,600,635,3356
2023-03-31,615,635,600,625,5875
2023-04-06,625,635,600,630,1164
2023-04-14,630,630,610,625,604
2023-04-20,605,625,605,625,786
2023-04-28,625,635,585,630,10055
2023-05-05,600,630,595,620,10149
2023-05-12,615,615,590,605,1480
2023-05-19,605,605,550,550,374
2023-05-26,565,605,565,600,777
2023-06-02,600,600,550,600,2062
2023-06-09,600,605,600,600,9643
2023-06-16,600,600,600,600,108
2023-06-23,600,600,590,600,469
2023-06-30,585,600,585,600,575
2023-07-07,585,585,550,575,1876
2023-07-14,580,580,550,550,1852
2023-07-21,550,580,550,580,1068
2023-07-28,580,580,550,570,646
2023-08-04,570,570,545,560,2332
2023-08-11,560,560,520,520,416
2023-08-18,550,560,550,550,1651
2023-08-25,550,560,530,550,1366
2023-09-01,550,550,510,550,1519
2023-09-07,510,550,510,515,4196
2023-09-15,515,525,510,525,875
2023-09-22,550,550,515,545,886
2023-09-29,545,545,500,500,2557
2023-10-06,500,535,495,530,1618
2023-10-13,495,565,495,565,8224
2023-10-20,560,635,525,635,7988
2023-10-27,635,635,595,615,1413
2023-11-03,605,615,555,555,664
2023-11-09,515,600,515,595,731
2023-11-17,590,700,585,680,73283
2023-11-24,680,900,680,900,13290
2023-12-01,840,925,820,820,98885
2023-12-08,760,790,650,720,5434
2023-12-15,720,850,700,850,75368
2023-12-22,845,850,790,790,83621
2023-12-29,840,840,780,830,20859
2024-01-05,830,830,760,830,68196
2024-01-12,825,845,785,825,18079
2024-01-19,825,830,760,825,7232
2024-01-26,825,825,760,820,860
2024-02-02,760,820,760,815,3106
2024-02-09,760,820,755,815,4228
2024-02-16,810,820,800,820,1050
2024-02-23,815,815,755,815,407
2024-03-01,815,815,755,815,1061
2024-03-08,800,800,795,800,145
2024-03-14,755,800,755,800,704
2024-03-22,800,800,750,790,1303
2024-03-29,780,810,780,805,2451
2024-04-04,800,805,800,800,258
2024-04-12,800,800,740,800,5467
2024-04-19,750,800,740,800,589
2024-04-25,800,800,750,800,226
2024-05-03,740,750,685,685,146
2024-05-10,685,685,650,675,369
2024-05-17,675,700,650,650,1157
2024-05-24,650,650,605,605,586
2024-05-31,650,650,600,645,757
2024-06-07,600,640,555,580,1786
2024-06-14,580,580,535,575,2206
2024-06-21,570,570,500,500,26242
2024-06-28,500,500,455,500,3113
2024-07-05,500,500,485,490,957
2024-07-12,490,490,455,490,3180
2024-07-19,490,535,470,470,49633
2024-07-26,470,510,465,495,63381
