date,open,high,low,close,volume
2021-07-27,9181,9181,9181,9181,80
2021-08-03,8239,8239,8239,8239,20
2021-08-04,8857,8857,8857,8857,10
2021-08-09,9521,9521,9521,9521,20
2021-08-10,9711,10235,9711,9800,80
2021-08-11,10535,10535,10535,10535,50
2021-08-12,11325,11325,11325,11325,200
2021-08-16,12170,12170,12170,12170,20
2021-08-18,13083,13083,13083,13083,190
2021-08-19,14064,14064,14064,14064,60
2021-08-20,14064,15118,14064,15118,560
2021-08-23,16252,16252,14000,14000,820
2021-08-24,14100,15050,12951,12951,790
2021-08-25,12951,12951,12174,12174,320
2021-08-26,12185,12185,12170,12170,180
2021-08-31,11300,12950,11300,11350,310
2021-09-01,11346,11346,11346,11346,40
2021-09-02,11340,11340,10495,10495,270
2021-09-06,10490,10495,9710,9710,730
2021-09-07,10438,10438,9501,9501,90
2021-09-08,9500,9500,9500,9500,48860
2021-09-10,10000,10213,10000,10213,50
2021-09-13,10300,10417,10300,10417,380
2021-09-15,10600,10600,9860,9860,90
2021-09-16,9851,9851,9851,9851,120
2021-09-21,10500,10500,10500,10500,100
2021-09-22,10500,10500,10200,10200,1030
2021-09-23,10200,10200,10200,10200,30
2021-09-24,10400,10400,9851,9851,40
2021-10-01,9900,9900,9900,9900,150
2021-10-04,10200,10200,10200,10200,150
2021-10-11,9856,10150,9856,10150,80
2021-10-12,10000,10001,10000,10001,3170
2021-10-13,10100,10100,10100,10100,20
2021-10-15,10100,10200,10001,10001,960
2021-10-20,10200,10200,10200,10200,320
2021-10-21,10200,10200,10200,10200,160
2021-10-25,10965,10965,10965,10965,60
2021-10-26,11787,11787,11787,11787,150
2021-10-27,12023,12671,11787,12671,390
2021-10-28,13621,13621,13621,13621,210
2021-10-29,13621,13621,13621,13621,10
2021-11-03,12600,12600,12600,12600,30
2021-11-04,12600,12600,12500,12600,12130
2021-11-05,12000,12600,11700,12600,170
2021-11-09,12601,12601,12601,12601,460
2021-11-10,13500,13500,13500,13500,60
2021-11-11,12601,13400,12600,12600,90
2021-11-12,12600,12600,12600,12600,470
2021-11-17,12600,13500,12600,12600,450
2021-11-18,13400,13400,13400,13400,10
2021-11-19,12600,14000,12600,14000,5200
2021-11-22,14980,15050,14980,14980,4600
2021-11-23,13900,13900,13900,13900,160
2021-11-24,14000,14000,12910,12910,100
2021-11-25,13001,13001,13001,13001,10
2021-11-29,13500,13500,13500,13500,10
2021-12-01,13700,13700,13501,13501,80
2021-12-02,13503,13503,13503,13503,310
2021-12-06,13500,13501,13500,13501,120
2021-12-07,14200,14510,14200,14510,30
2021-12-08,14520,14520,14520,14520,70
2021-12-09,14520,14520,14520,14520,140
2021-12-13,14550,14550,14520,14520,70
2021-12-14,14550,14550,14520,14520,100
2021-12-15,14520,14600,14520,14600,1420
2021-12-16,14600,14600,14600,14600,190
2021-12-20,14500,14600,14500,14600,440
2021-12-22,14600,14600,14600,14600,60
2021-12-23,14700,14700,14700,14700,10
2021-12-24,14700,14700,14700,14700,40
2021-12-27,14700,14700,14700,14700,20
2021-12-28,14700,14700,14700,14700,30
2021-12-29,14600,14990,14600,14990,200
2021-12-30,14501,15600,14501,15600,1300
2022-01-03,14430,14430,14430,14430,10
2022-01-04,13400,14400,13400,14400,70
