date,open,high,low,close,volume
2021-07-27,9181,9181,9181,9181,80
2021-08-31,8239,16252,8239,11350,3630
2021-09-24,11346,11346,9500,9851,51830
2021-10-29,9900,13621,9856,13621,5830
2021-11-29,12600,15050,11700,13500,23950
2021-12-30,13700,15600,13500,15600,4630
2022-01-31,14430,16500,13400,16500,3900
2022-02-28,16450,16800,15500,16800,8260
2022-03-30,16800,16800,15500,16400,8130
2022-04-29,15500,16400,15000,15500,4790
2022-05-30,15500,15500,11466,12416,29520
2022-06-29,12850,15588,12000,15000,22040
2022-07-29,15000,15001,13413,13413,2560
2022-08-31,13500,13500,10000,10750,3250
2022-09-30,11500,13000,10000,10676,1850
2022-10-27,10000,11555,10000,11550,1880
2022-11-30,11550,11550,8000,8800,4140
2022-12-30,8500,9000,8235,8325,4910
2023-01-30,8325,8450,7585,7587,2790
2023-02-28,8155,8500,7800,8000,1530
2023-03-31,8000,8001,7800,8000,6430
2023-04-25,8000,8700,7021,7021,3140
2023-05-31,7500,8600,7500,7900,430
2023-06-30,7308,7308,5600,7308,2000
2023-07-31,6760,7400,6760,7400,730
2023-08-31,7400,8600,7258,8600,6800
2023-09-29,8600,9030,8400,9000,630
2023-10-31,8999,9020,7790,9000,4680
2023-11-24,9000,9000,8325,9000,9250
2023-12-28,8999,9000,7900,8700,7880
2024-01-25,8700,9000,8700,8894,2160
2024-02-29,8227,8894,8100,8800,860
2024-03-28,8800,8800,8300,8325,1460
2024-09-30,8510,10980,8510,10975,4565
2024-10-31,11795,18245,11790,15500,39195
2024-11-29,15395,15395,11700,13255,5866
2024-12-31,14245,15050,12860,12950,7833
2025-01-31,13000,14000,12865,13500,3655
2025-02-28,13005,15000,13000,15000,2084
2025-03-28,15000,15000,14000,14400,3034
2025-04-30,14200,14500,12955,13800,2947
2025-05-30,13850,17200,13800,16900,8198
2025-06-30,16900,19295,15750,16820,13193
2025-07-31,16900,19320,16800,18600,39286
2025-08-29,18005,18750,17500,18740,12282
2025-09-30,18740,18745,17275,18000,2785
2025-10-31,18000,22975,17505,22975,65627
2025-11-28,24695,28860,22975,27100,16821
2025-12-31,27500,29990,25905,28900,8201
2026-01-30,28500,29670,26800,28000,16451
2026-02-27,27855,44075,27760,44075,11931
2026-03-31,44075,47380,35615,39000,12390
2026-04-30,39100,41000,35540,35540,3898
2026-05-29,36000,39000,35000,38500,9873
2026-06-30,40295,40295,37000,38950,18394
2026-07-31,38950,41810,36200,37750,56864
2026-08-31,37760,38990,36900,38000,30610
2026-09-24,38000,38500,36800,37800,18699
