date,open,high,low,close,volume
2026-06-14,39490,39490,39000,39000,476
2026-06-21,38900,39000,38800,38800,3265
2026-06-25,39000,39000,38100,38500,8680
2026-07-05,38350,39200,38350,39200,2470
2026-07-10,39200,41500,39200,39910,22392
2026-07-17,40000,41500,39100,39155,1923
2026-07-24,40900,41000,38900,39495,11376
2026-07-31,39495,40025,37700,37750,19365
2026-08-07,37760,37760,36900,37000,4593
2026-08-14,37500,38000,37005,37250,7899
2026-08-21,38000,38500,37005,37005,8325
2026-08-29,37010,37990,37000,37000,10236
2026-09-04,38000,38000,37250,37250,7081
2026-09-10,37990,38000,37990,38000,599
2026-09-18,38000,38000,38000,38000,87
2026-09-24,37880,37880,37800,37800,627
