date,open,high,low,close,volume
2021-07-26,6700,6700,6400,6400,606
2021-07-27,6700,6700,6450,6500,485
2021-07-28,6600,6800,6600,6800,70
2021-07-29,6795,6800,6795,6800,86
2021-07-30,6735,6800,6735,6800,175
2021-08-02,6800,6800,6700,6700,153
2021-08-03,6800,6800,6710,6710,158
2021-08-04,6710,6710,6700,6700,1300
2021-08-05,6700,6800,6655,6710,2286
2021-08-06,6655,6655,6655,6655,15
2021-08-09,6710,6710,6700,6700,129
2021-08-10,6700,6700,6700,6700,80
2021-08-11,6750,6800,6750,6755,810
2021-08-12,6755,6800,6755,6800,493
2021-08-13,6805,6900,6805,6805,126
2021-08-16,6810,6990,6805,6880,151
2021-08-17,6880,6990,6810,6900,230
2021-08-18,6900,6920,6900,6920,47
2021-08-19,6920,7000,6920,6920,6472
2021-08-20,6900,7000,6900,7000,827
2021-08-23,7000,7000,6810,6810,804
2021-08-24,6905,6905,6700,6700,2696
2021-08-25,6910,7000,6810,6810,111
2021-08-26,6810,6820,6810,6810,322
2021-08-27,7000,7000,6800,6800,370
2021-08-30,6825,6825,6715,6715,940
2021-08-31,6800,6800,6800,6800,13
2021-09-01,6800,6800,6760,6760,55
2021-09-02,6800,6800,6655,6655,3549
2021-09-03,7010,7150,6870,6870,2543
2021-09-06,7385,7385,6900,6900,238
2021-09-07,7005,7005,6965,6965,662
2021-09-08,6900,7150,6900,7150,623
2021-09-09,7185,7185,7185,7185,185
2021-09-10,7185,7185,7185,7185,988
2021-09-13,7185,7185,6805,6805,10954
2021-09-14,6850,7100,6850,6885,129
2021-09-15,6885,6885,6885,6885,40
2021-09-16,7100,7100,6900,6900,163
2021-09-17,6905,7095,6900,7000,811
2021-09-20,7000,7005,6900,6910,3670
2021-09-21,7000,7150,6950,7150,653
2021-09-22,7000,7150,7000,7100,422
2021-09-23,7100,7135,6950,6950,2527
2021-09-24,6950,7000,6945,7000,1034
2021-09-27,7005,7050,7000,7000,17858
2021-09-28,7000,7100,7000,7100,882
2021-09-29,7000,7180,7000,7100,207
2021-09-30,7125,7125,7000,7000,851
2021-10-01,7120,7120,7000,7000,200
2021-10-04,7000,7050,7000,7050,448
2021-10-05,7050,7155,7050,7050,65
2021-10-06,7060,7100,7060,7100,1107
2021-10-07,7100,7150,7100,7150,662
2021-10-08,7150,7170,7050,7050,6118
2021-10-11,7150,7150,7100,7100,34
2021-10-12,7090,7090,7010,7010,633
2021-10-13,7005,7170,7005,7050,577
2021-10-14,7005,7165,7005,7050,2321
2021-10-15,7150,7150,7150,7150,26
2021-10-19,7150,7150,7140,7140,1276
2021-10-20,7150,7150,7015,7015,5783
2021-10-21,7015,7015,7010,7010,654
2021-10-22,7010,7010,7005,7010,3903
2021-10-25,7010,7100,7000,7100,571
2021-10-26,7085,7100,7085,7100,4192
2021-10-27,7100,7100,7010,7010,7961
2021-10-28,7090,7150,7000,7150,4887
2021-10-29,7090,7200,7000,7000,5676
2021-11-03,6990,6990,6950,6990,90
2021-11-04,6990,7000,6950,6950,949
2021-11-05,6910,7000,6830,6950,1211
2021-11-08,6950,7000,6850,6950,5525
2021-11-09,6950,6950,6935,6950,667
2021-11-10,6945,6950,6945,6950,398
2021-11-11,6950,6950,6920,6950,329
2021-11-12,6950,6950,6950,6950,50
2021-11-16,6950,6950,6950,6950,1020
2021-11-17,6950,7000,6900,6900,2020
2021-11-18,6900,7000,6600,6600,2726
2021-11-19,6900,6950,6900,6950,1332
2021-11-22,6950,7000,6630,6940,753
2021-11-23,7000,7085,6850,6850,4406
2021-11-24,6850,7000,6850,7000,220
2021-11-25,7000,7000,6680,6805,2115
2021-11-26,6805,6805,6650,6750,9689
2021-11-29,6950,6950,6950,6950,31
2021-11-30,6900,6900,6900,6900,622
2021-12-02,6920,6950,6900,6900,101
2021-12-03,6950,6950,6850,6850,510
2021-12-06,6950,6950,6850,6850,422
2021-12-07,6900,6900,6800,6800,308
2021-12-08,6900,6900,6850,6850,150
2021-12-09,6850,6900,6850,6900,450
2021-12-10,6900,6900,6850,6900,652
2021-12-13,6900,6900,6900,6900,105
2021-12-14,6900,6900,6505,6505,2794
2021-12-15,6700,6800,6700,6800,176
2021-12-16,6800,6800,6600,6600,88
2021-12-17,6700,6700,6700,6700,258
2021-12-20,6700,6700,6690,6700,1174
2021-12-21,6650,6800,6650,6800,3151
2021-12-22,6850,6900,6805,6805,2561
2021-12-23,6900,6900,6900,6900,1734
2021-12-24,6945,6945,6945,6945,30
2021-12-27,6945,6945,6945,6945,18
2021-12-28,6945,7000,6945,7000,951
2021-12-29,6945,6945,6905,6945,130
2021-12-30,6905,6945,6905,6905,206
2021-12-31,6900,6900,6900,6900,223
2022-01-03,6900,6900,6500,6500,108
2022-01-04,6880,6985,6880,6980,51
2022-01-05,6980,7000,6980,7000,287
2022-01-06,6980,7000,6980,6985,148
2022-01-07,7000,7000,6955,7000,160
2022-01-10,7000,7000,7000,7000,45
2022-01-11,6995,7000,6995,7000,27
2022-01-12,7000,7080,6920,7080,336
2022-01-13,7000,7080,6920,6940,849
2022-01-14,6940,7050,6940,6940,51
2022-01-17,7060,7060,6600,6805,741
2022-01-18,6820,7080,6820,7050,76
2022-01-19,7050,7080,7050,7080,56
2022-01-20,7080,7080,6950,6950,261
2022-01-21,7000,7000,7000,7000,30
2022-01-24,7050,7080,7050,7080,701
2022-01-25,7000,7000,6900,6900,352
2022-01-26,6950,7050,6950,7050,616
2022-01-27,7000,7050,6905,6905,641
2022-01-28,7000,7420,6900,6900,1437
2022-01-31,7035,7035,6900,6900,611
2022-02-01,7000,7000,6910,6910,213
2022-02-02,7000,7000,6940,7000,205
2022-02-03,7000,7000,7000,7000,115
2022-02-04,6940,7000,6940,6945,274
2022-02-07,7000,7000,7000,7000,230
2022-02-08,7000,7150,7000,7100,193
2022-02-09,7100,7300,7000,7000,698
2022-02-10,7080,7195,7000,7005,286
