date,open,high,low,close,volume
2021-07-30,6700,6800,6400,6800,1422
2021-08-06,6800,6800,6655,6655,3912
2021-08-13,6710,6900,6700,6805,1638
2021-08-20,6810,7000,6805,7000,7727
2021-08-27,7000,7000,6700,6800,4303
2021-09-03,6825,7150,6655,6870,7100
2021-09-10,7385,7385,6900,7185,2696
2021-09-17,7185,7185,6805,7000,12097
2021-09-24,7000,7150,6900,7000,8306
2021-10-01,7005,7180,7000,7000,19998
2021-10-08,7000,7170,7000,7050,8400
2021-10-15,7150,7170,7005,7150,3591
2021-10-22,7150,7150,7005,7010,11616
2021-10-29,7010,7200,7000,7000,23287
2021-11-05,6990,7000,6830,6950,2250
2021-11-12,6950,7000,6850,6950,6969
2021-11-19,6950,7000,6600,6950,7098
2021-11-26,6950,7085,6630,6750,17183
2021-12-03,6950,6950,6850,6850,1264
2021-12-10,6950,6950,6800,6900,1982
2021-12-17,6900,6900,6505,6700,3421
2021-12-24,6700,6945,6650,6945,8650
2021-12-31,6945,7000,6900,6900,1528
2022-01-07,6900,7000,6500,7000,754
2022-01-14,7000,7080,6920,6940,1308
2022-01-21,7060,7080,6600,7000,1164
2022-01-28,7050,7420,6900,6900,3747
2022-02-04,7035,7035,6900,6945,1418
2022-02-11,7000,7300,7000,7100,1412
2022-02-18,7100,7400,7050,7150,2544
2022-02-25,7150,7500,7100,7400,2692
2022-03-04,7400,7450,7300,7400,16232
2022-03-11,7400,7400,7300,7380,12172
2022-03-18,7380,7390,7310,7375,4558
2022-03-25,7380,7400,7000,7000,11263
2022-04-01,7000,7400,6475,7400,8825
2022-04-08,7395,7400,7000,7000,2249
2022-04-15,7000,7550,7000,7400,2852
2022-04-22,7400,7995,7400,7995,2018
2022-04-29,7505,7990,7505,7550,1958
2022-05-06,6985,6985,5985,6895,27490
2022-05-13,6950,7410,6950,7200,2019
2022-05-20,7100,7150,6385,7150,1010
2022-05-27,7000,7350,7000,7350,4222
2022-06-03,7350,7400,7000,7195,1893
2022-06-10,7195,7195,7050,7195,413
2022-06-17,7100,7350,7100,7345,2230
2022-06-24,7325,7350,7105,7150,9492
2022-07-01,7250,7395,7250,7395,660
2022-07-08,7395,7450,7150,7445,7761
2022-07-15,7440,7495,7390,7400,1411
2022-07-22,7200,7300,7100,7200,1290
2022-07-29,7190,7190,7000,7050,1247
2022-08-05,7000,7000,6555,6810,3103
2022-08-12,6800,7050,6350,6985,4168
2022-08-19,6750,7050,6625,6800,3259
2022-08-26,6530,6535,5890,6380,4531
2022-09-02,6000,6780,5955,6400,1224
2022-09-09,6500,6700,5950,6100,3229
2022-09-16,5700,6495,5645,6400,3300
2022-09-23,6295,6300,6000,6050,4142
2022-09-30,6050,6395,6000,6000,7781
2022-10-07,6000,7400,5960,7100,5414
2022-10-14,7100,7100,6800,7000,3121
2022-10-21,7050,7100,6865,6900,3157
2022-10-28,7000,7000,6600,6600,6213
2022-11-04,6600,6900,6600,6900,1216
2022-11-11,6900,6900,6700,6880,1161
2022-11-18,6900,7000,6700,6940,737
2022-11-25,6720,6950,6705,6900,1902
2022-12-02,6800,6850,6700,6715,2550
2022-12-09,6705,6750,6610,6700,1843
2022-12-16,6700,6760,6600,6715,11589
2022-12-23,6715,6995,6600,6980,1067
2022-12-30,6750,6890,6650,6800,6420
2023-01-06,6885,6900,6600,6600,413
2023-01-13,6610,6840,6610,6800,1500
2023-01-20,6840,7000,6800,6990,2993
2023-01-27,7000,7000,6900,7000,659
2023-02-03,7000,7100,6900,7100,2805
2023-02-09,7100,7490,7000,7490,963
2023-02-17,7490,7490,7005,7250,2000
2023-02-24,7400,7665,7350,7500,6394
2023-03-03,7485,7500,7350,7485,9201
2023-03-10,7490,7500,7250,7250,3245
2023-03-17,7500,7695,7300,7695,7691
2023-03-24,7585,7700,7585,7585,806
2023-03-31,7585,7620,7500,7580,2967
2023-04-07,7570,7595,7500,7570,1111
2023-04-13,7600,7600,7510,7595,1474
2023-04-20,7520,7595,7520,7595,1125
2023-04-28,7580,7850,7350,7810,10388
2023-05-05,8000,8000,7850,7900,8062
2023-05-12,7895,7990,7785,7890,7532
2023-05-19,7890,7990,7800,7850,7915
2023-05-26,7785,7895,7785,7800,853
2023-06-02,7805,7880,7530,7530,1125
2023-06-09,7805,7805,7700,7800,6285
2023-06-16,7800,7800,7790,7800,5869
2023-06-23,7800,7800,7795,7800,6659
2023-06-30,7800,7800,7795,7800,19961
2023-07-07,7800,8385,7800,8155,20348
2023-07-14,8200,8400,8190,8255,12658
2023-07-21,8255,8400,8255,8385,12916
2023-07-28,8500,8800,8500,8750,7789
2023-08-04,8800,9500,8750,9500,9168
2023-08-11,9500,9500,9000,9400,2282
2023-08-18,9400,9850,9400,9745,2939
2023-08-25,9700,9740,9100,9550,4593
2023-09-01,9550,9600,8850,9050,7278
2023-09-08,9100,9390,8900,9010,5597
2023-09-15,9200,9305,9000,9150,5797
2023-09-22,9250,9250,9030,9150,5198
2023-09-29,9150,9150,9005,9150,688
2023-10-06,9150,9290,9005,9290,5054
2023-10-13,9135,9500,8975,9500,4559
2023-10-20,9500,10450,9260,10450,14924
2023-10-27,10160,10160,9275,9875,1186
2023-11-03,9850,9900,9250,9885,1562
2023-11-10,9890,9890,9600,9850,3659
2023-11-17,9800,9850,9720,9790,4425
2023-11-24,9795,9795,9400,9790,10613
2023-12-01,9790,9800,9600,9800,9146
2023-12-08,9800,10000,9745,9810,3744
2023-12-15,9810,10645,9810,10500,8513
2023-12-22,10450,10700,9815,10670,9097
2023-12-29,10600,10700,9900,10530,7526
2024-01-05,10000,10520,9810,10400,2444
2024-01-12,10390,10400,10030,10385,830
2024-01-19,10385,10390,9905,10250,2820
2024-01-26,9905,10250,9805,9805,3135
2024-02-02,9990,10000,9805,10000,1195
2024-02-09,9950,10240,9950,10240,1218
2024-02-16,10250,10250,9900,10000,4739
2024-02-23,10000,10385,9990,10300,2927
2024-03-01,10300,10385,10120,10290,1343
2024-03-08,10290,10290,10050,10050,3605
2024-03-15,10290,10290,10205,10290,688
2024-03-22,10290,10295,10250,10295,1653
2024-03-29,10295,10400,10275,10400,38360
2024-04-05,10400,11800,10400,11300,718
2024-04-12,11300,11300,10755,11100,4298
2024-04-19,11100,11195,11000,11095,2529
2024-04-26,11090,11895,11050,11895,1992
2024-05-03,11770,11770,11200,11490,2362
2024-05-10,11295,11640,11000,11300,5137
2024-05-17,11350,12100,11000,11800,6135
2024-05-24,11750,11795,11000,11795,7988
2024-05-31,11795,11795,11500,11530,907
2024-06-07,11530,11800,11530,11800,2097
2024-06-14,11580,12000,11580,11800,1490
2024-06-21,11800,12100,11795,12100,2053
2024-06-28,12100,12505,11850,11900,2210
2024-07-05,11975,12095,11850,12095,1200
2024-07-12,12095,12275,11995,12100,2561
2024-07-19,12350,12850,12350,12850,9808
2024-07-26,12850,13500,12850,13000,1770
2024-08-02,13000,13200,12700,12845,5837
2024-08-09,12900,12900,12500,12900,1283
2024-08-16,12900,13200,12800,13200,2522
2024-08-23,13000,13500,13000,13500,2750
2024-08-30,13500,13800,13500,13800,1452
2024-09-06,13800,14890,13800,14600,4407
2024-09-13,14300,14600,14300,14600,8755
2024-09-20,14600,14900,14500,14510,5768
2024-09-27,14900,14900,12610,13540,5899
2024-10-04,13500,13700,13000,13000,4039
2024-10-11,13000,13490,11800,12000,8601
2024-10-18,12000,13100,11100,13100,1785
2024-10-25,13100,14000,12860,13300,2600
2024-10-31,13200,13400,12230,12230,19381
2024-11-08,11890,11890,9500,11000,8854
2024-11-14,11110,11110,9800,10490,3716
2024-11-22,10490,10490,9600,9790,14102
2024-11-29,9780,9790,9500,9515,5557
2024-12-06,9515,9600,9500,9600,5601
2024-12-13,9600,9600,9505,9600,3331
2024-12-20,9600,9775,9520,9600,2918
2024-12-27,9600,9600,9495,9500,2040
2025-01-03,9500,9500,8605,9200,2092
2025-01-10,9200,9200,8500,8800,3259
2025-01-17,8800,8800,6935,7480,4903
2025-01-24,7480,7495,6400,7400,7746
2025-01-31,7400,7750,7050,7400,4745
2025-02-07,7400,7400,6900,7160,10547
2025-02-14,7160,7750,7160,7200,5231
2025-02-21,7200,7200,6500,7100,16790
2025-02-28,7100,7195,6600,7195,12689
2025-03-07,7195,8170,7050,8170,20635
2025-03-14,8500,8800,8200,8385,10401
2025-03-21,8250,8650,8205,8595,2530
2025-03-28,8500,8600,8205,8600,2623
2025-04-04,8600,8600,8300,8500,2828
2025-04-11,8490,8600,8255,8430,5637
2025-04-18,8430,8445,8280,8400,5408
2025-04-25,8400,8450,8250,8405,12139
