date,open,high,low,close,volume
2026-06-14,28400,28400,28400,28400,10980
2026-06-21,28400,28400,28150,28150,87722
2026-06-25,28300,29000,28300,28600,15160
2026-07-05,29000,29500,28300,29500,19553
2026-07-10,29400,31000,29400,30900,32298
2026-07-17,30900,32500,30900,32000,95716
2026-07-24,32000,32000,31495,31495,18929
2026-07-31,30900,31350,30900,31000,42078
2026-08-07,31000,31500,30200,31000,97977
2026-08-14,30500,32000,30500,31900,46677
2026-08-21,31900,36980,31900,36980,64043
2026-08-29,36980,36980,34600,36700,52355
2026-09-04,36700,38500,36600,38500,54367
2026-09-10,39200,39200,38800,38800,20855
2026-09-18,42190,42190,42180,42180,26830
2026-09-24,41500,41890,41500,41890,25194
