date,open,high,low,close,volume
2026-06-13,8450,8495,8450,8495,1551
2026-06-14,8450,8495,8450,8495,1551
2026-06-16,8115,8395,8115,8395,2132
2026-06-17,8300,8300,8280,8280,4138
2026-06-19,8280,8280,8010,8010,3930
2026-06-20,8280,8280,8010,8010,3930
2026-06-21,8280,8280,8010,8010,3930
2026-06-22,8020,8295,8020,8295,3006
2026-06-23,8295,8295,8275,8275,708
2026-06-24,8275,8280,8275,8280,879
2026-06-25,8285,8335,8285,8335,3941
2026-06-29,8400,8400,8400,8400,2607
2026-06-30,8400,8400,8395,8395,554
2026-07-01,8395,8395,8395,8395,627
2026-07-02,8400,8450,8400,8450,1109
2026-07-03,8440,8450,8440,8450,2238
2026-07-05,8440,8450,8440,8450,2238
2026-07-06,8450,8600,8450,8600,2947
2026-07-07,8550,8550,8495,8495,3718
2026-07-08,8495,8495,8390,8390,1233
2026-07-09,8390,8600,8390,8600,6283
2026-07-10,8565,8565,8360,8360,2769
2026-07-13,8360,8360,8195,8195,1388
2026-07-14,8200,8200,8200,8200,3965
2026-07-15,8100,8200,8100,8200,1889
2026-07-16,8010,8010,8000,8000,2876
2026-07-17,8000,8010,8000,8010,870
2026-07-20,8010,8010,8000,8000,6117
2026-07-21,8020,8150,8020,8150,301
2026-07-22,8150,8200,8150,8200,2650
2026-07-23,8200,8300,8200,8300,1032
2026-07-24,8400,8400,8220,8220,1938
2026-07-27,8400,8400,8100,8100,15144
2026-07-28,8300,8380,8300,8380,3170
2026-07-29,8400,8400,8300,8300,3309
2026-07-30,8300,8300,8100,8100,2563
2026-07-31,8400,8400,8305,8305,4773
2026-08-03,8400,8400,8400,8400,2652
2026-08-04,8400,8400,8400,8400,1468
2026-08-05,7405,8100,7405,8100,1331
2026-08-06,8060,8100,8060,8100,771
2026-08-07,8060,8100,8060,8100,771
2026-08-10,8050,8050,7875,7875,3659
2026-08-11,7900,7915,7900,7915,1420
2026-08-12,7800,7860,7800,7860,1313
2026-08-13,7895,7895,7315,7315,160654
2026-08-14,7800,7850,7800,7850,697
2026-08-17,7895,7895,7850,7850,5554
2026-08-18,7900,7900,7900,7900,2275
2026-08-19,7995,8290,7995,8290,2823
2026-08-20,8290,8290,8195,8195,4416
2026-08-21,8195,8195,8175,8175,1938
2026-08-24,8200,8250,8200,8250,2807
2026-08-25,8200,8250,8200,8250,2807
2026-08-26,8250,8250,8200,8200,1691
2026-08-28,8200,8200,8200,8200,2797
2026-08-29,8205,8205,8200,8200,3412
2026-08-31,8200,8250,8200,8250,3037
2026-09-01,8260,8300,8260,8300,4814
2026-09-02,8390,8490,8390,8490,8045
2026-09-03,8500,8875,8500,8875,4133
2026-09-04,8875,8875,8800,8800,12015
2026-09-10,7700,7800,7700,7800,3205
2026-09-18,8000,8000,7970,7970,152
2026-09-24,7310,7745,7310,7745,512
