date,open,high,low,close,volume
2021-07-30,3800,3800,3330,3600,99374
2021-08-31,3600,4350,3600,4100,68129
2021-09-30,4095,4315,3985,4300,55029
2021-10-29,4305,5685,4300,5500,82878
2021-11-30,5325,5495,4800,5250,63704
2021-12-31,5150,5345,4650,5000,131726
2022-01-31,5090,5195,4800,4950,38923
2022-02-28,4950,5500,4910,5480,71302
2022-03-31,5400,6100,5350,6100,70000
2022-04-29,6005,6100,5800,5985,89982
2022-05-31,6100,7100,5990,6590,89692
2022-06-30,6590,6650,6300,6505,28039
2022-07-29,6500,6600,5710,5915,17661
2022-08-31,5915,6000,5905,5915,15773
2022-09-30,5950,6450,5490,6350,90722
2022-10-31,6350,6350,5700,6095,34074
2022-11-30,6080,6080,5310,5685,19919
2022-12-30,5370,5700,5250,5670,27680
2023-01-31,5665,5750,4950,5740,48716
2023-02-28,5750,5800,5300,5695,16917
2023-03-31,5695,5795,5310,5400,14352
2023-04-28,5325,5590,5200,5400,27381
2023-05-31,5390,5450,4555,5270,75645
2023-06-30,5270,5275,4705,4800,19439
2023-07-31,4795,4800,3800,3890,103935
2023-08-31,3890,4000,3600,3870,42184
2023-09-29,3870,3900,3435,3445,50216
2023-10-31,3500,3785,2930,2930,71862
2023-11-30,2930,2930,2405,2600,57070
2023-12-29,2605,3600,2605,3270,41960
2024-01-31,3200,3270,3020,3030,51489
2024-02-29,3035,3200,2950,3200,22758
2024-03-29,3200,4000,3100,3895,35410
2024-04-30,3875,3895,3180,3325,14998
2024-05-31,3340,3340,2915,3125,49252
2024-06-28,3125,3745,3040,3725,47845
2024-07-31,3670,3995,3550,3995,30843
2024-08-30,3995,3995,3700,3900,25723
2024-09-30,3900,4000,3690,3935,37485
2024-10-31,3800,4570,3800,4460,62869
2024-11-29,4460,4790,4200,4640,66544
2024-12-31,4640,4885,4500,4610,138485
2025-01-31,4615,4615,4380,4490,62059
2025-02-28,4490,4990,4350,4900,80111
2025-03-28,4900,5500,4700,5500,92094
2025-04-30,5200,6350,4805,5945,114705
2025-05-30,6145,7400,6050,7200,125993
2025-06-30,7200,8580,7065,8100,73208
2025-07-31,8000,8250,7000,7600,137661
2025-08-29,7600,7890,7220,7690,115042
2025-09-30,7690,8985,7485,8505,262363
2025-10-31,8500,9000,7320,7840,123174
2025-11-28,7840,8130,7160,7975,89067
2025-12-31,7970,7970,7500,7900,58873
2026-01-30,7505,7980,7505,7960,36538
2026-02-27,7960,8725,7850,8725,73727
2026-03-31,8750,9000,7690,8010,71197
2026-04-30,7980,7995,7100,7100,122324
2026-05-29,7000,7675,6645,7300,86632
2026-06-30,7385,8600,7330,8395,94304
2026-07-31,8395,8700,7905,8305,72909
2026-08-31,8400,8400,7300,8250,204715
2026-09-24,8260,9000,7250,7745,67319
