date,open,high,low,close,volume
2026-06-14,8450,8495,8450,8495,3102
2026-06-21,8115,8395,8010,8010,18060
2026-06-25,8020,8335,8020,8335,8534
2026-07-05,8400,8450,8395,8450,9373
2026-07-10,8450,8600,8360,8360,16950
2026-07-17,8360,8360,8000,8010,10988
2026-07-24,8010,8400,8000,8220,12038
2026-07-31,8400,8400,8100,8305,28959
2026-08-07,8400,8400,7405,8100,6993
2026-08-14,8050,8050,7315,7850,167743
2026-08-21,7895,8290,7850,8175,17006
2026-08-29,8200,8250,8200,8200,13514
2026-09-04,8200,8875,8200,8800,32044
2026-09-10,7700,7800,7700,7800,3205
2026-09-18,8000,8000,7970,7970,152
2026-09-24,7310,7745,7310,7745,512
