date,open,high,low,close,volume
2026-06-13,7515,7685,7515,7685,4855
2026-06-14,7515,7685,7515,7685,4855
2026-06-16,7500,7590,7500,7590,474
2026-06-17,7595,7595,7590,7590,1294
2026-06-19,7575,7575,7565,7565,2852
2026-06-20,7575,7575,7565,7565,2852
2026-06-21,7575,7575,7565,7565,2852
2026-06-22,7565,7650,7565,7650,2261
2026-06-23,7700,7700,7645,7645,688
2026-06-24,7645,7645,7645,7645,1856
2026-06-25,7510,7600,7510,7600,1944
2026-06-29,7665,7685,7665,7685,1993
2026-06-30,7685,7685,7675,7675,957
2026-07-01,7670,7995,7670,7995,1761
2026-07-02,7985,7985,7960,7960,1288
2026-07-03,7950,7950,7675,7675,2645
2026-07-05,7950,7950,7675,7675,2645
2026-07-06,7960,7960,7945,7945,1738
2026-07-07,7940,7940,7900,7900,2277
2026-07-08,7900,7900,7505,7505,1626
2026-07-09,7520,7850,7520,7850,1778
2026-07-10,7850,7850,7550,7550,491
2026-07-13,7555,7580,7555,7580,972
2026-07-14,7580,7580,7500,7500,3133
2026-07-15,7500,7500,7400,7400,3650
2026-07-16,7400,7495,7400,7495,8263
2026-07-17,7400,7500,7400,7500,309
2026-07-20,7505,7505,7300,7300,1366
2026-07-21,7305,7350,7305,7350,451
2026-07-22,7400,7400,7350,7350,454
2026-07-23,7350,7480,7350,7480,1723
2026-07-24,7480,7600,7480,7600,1305
2026-07-27,7550,7550,7400,7400,1902
2026-07-28,7450,7500,7450,7500,754
2026-07-29,7500,7500,7480,7480,1025
2026-07-30,7400,7475,7400,7475,1430
2026-07-31,7475,7565,7475,7565,1066
2026-08-03,7595,7595,7500,7500,4030
2026-08-04,7500,7530,7500,7530,1375
2026-08-05,7520,7600,7520,7600,960
2026-08-06,7650,7650,7600,7600,455
2026-08-07,7650,7650,7600,7600,455
2026-08-10,7600,7900,7600,7900,2027
2026-08-11,7700,7900,7700,7900,780
2026-08-12,7800,7870,7800,7870,2160
2026-08-13,7900,8000,7900,8000,5536
2026-08-14,8100,8100,8005,8005,2797
2026-08-17,8040,8400,8040,8400,2924
2026-08-18,9000,9000,8990,8990,52971
2026-08-19,9050,9660,9050,9660,10161
2026-08-20,8940,8940,8940,8940,17861
2026-08-21,8300,9440,8300,9440,7434
2026-08-24,9440,9440,9250,9250,6484
2026-08-25,9440,9440,9250,9250,6484
2026-08-26,9275,9650,9275,9650,7242
2026-08-28,9400,9400,9200,9200,13116
2026-08-29,9305,9500,9305,9500,15040
2026-08-31,9500,9500,9500,9500,5574
2026-09-01,9700,9750,9700,9750,3886
2026-09-02,9750,10300,9750,10300,10580
2026-09-03,10300,10300,10200,10200,4074
2026-09-04,10200,10200,10015,10015,4958
2026-09-10,7935,7935,7935,7935,9149
2026-09-18,7900,7900,7800,7800,2928
2026-09-24,7450,7650,7450,7650,2263
