date,open,high,low,close,volume
2026-06-14,7515,7685,7515,7685,9710
2026-06-21,7500,7595,7500,7565,10324
2026-06-25,7565,7700,7510,7600,6749
2026-07-05,7665,7995,7665,7675,11289
2026-07-10,7960,7960,7505,7550,7910
2026-07-17,7555,7580,7400,7500,16327
2026-07-24,7505,7600,7300,7600,5299
2026-07-31,7550,7565,7400,7565,6177
2026-08-07,7595,7650,7500,7600,7275
2026-08-14,7600,8100,7600,8005,13300
2026-08-21,8040,9660,8040,9440,91351
2026-08-29,9440,9650,9200,9500,48366
2026-09-04,9500,10300,9500,10015,29072
2026-09-10,7935,7935,7935,7935,9149
2026-09-18,7900,7900,7800,7800,2928
2026-09-24,7450,7650,7450,7650,2263
