date,open,high,low,close,volume
2026-06-13,3600,3600,3550,3550,9259
2026-06-14,3600,3600,3550,3550,9259
2026-06-16,3495,3495,3495,3495,3111
2026-06-17,3495,3500,3495,3500,14171
2026-06-19,3500,3500,3500,3500,3706
2026-06-20,3500,3500,3500,3500,3706
2026-06-21,3500,3500,3500,3500,3706
2026-06-22,3350,3460,3350,3460,1544
2026-06-23,3460,3490,3460,3490,3387
2026-06-24,3490,3640,3490,3640,8028
2026-06-25,3645,3645,3630,3630,1579
2026-06-29,3600,3600,3490,3490,4024
2026-06-30,3490,3550,3490,3550,1332
2026-07-01,3500,3500,3450,3450,1873
2026-07-02,3450,3500,3450,3500,3476
2026-07-03,3495,3495,3440,3440,2462
2026-07-05,3495,3495,3440,3440,2462
2026-07-06,3400,3400,3385,3385,4421
2026-07-07,3385,3385,3300,3300,3750
2026-07-08,3055,3055,3055,3055,4433
2026-07-09,2860,3050,2860,3050,7393
2026-07-10,2995,3200,2995,3200,4812
2026-07-13,3200,3200,3175,3175,893
2026-07-14,3055,3100,3055,3100,3084
2026-07-15,3200,3200,3195,3195,6217
2026-07-16,3195,3195,3195,3195,2572
2026-07-17,3200,3200,3185,3185,5823
2026-07-20,3085,3195,3085,3195,5692
2026-07-21,3190,3190,3100,3100,2697
2026-07-22,3120,3120,2990,2990,18883
2026-07-23,2995,3000,2995,3000,834
2026-07-24,2990,2990,2905,2905,4611
2026-07-27,2905,2905,2690,2690,5480
2026-07-28,2875,2875,2850,2850,4634
2026-07-29,2850,2850,2845,2845,11650
2026-07-30,2705,2800,2705,2800,2966
2026-07-31,2790,2790,2680,2680,6520
2026-08-03,2750,2820,2750,2820,4652
2026-08-04,2800,2800,2800,2800,1382
2026-08-05,2770,2770,2690,2690,4287
2026-08-06,2700,2700,2675,2675,4162
2026-08-07,2700,2700,2675,2675,4162
2026-08-10,2715,2715,2630,2630,6339
2026-08-11,2600,2630,2600,2630,3766
2026-08-12,2625,2660,2625,2660,2489
2026-08-13,2695,2695,2655,2655,2478
2026-08-14,2655,2655,2635,2635,2023
2026-08-17,2640,2640,2545,2545,4795
2026-08-18,2500,2530,2500,2530,7676
2026-08-19,2505,2530,2505,2530,2712
2026-08-20,2595,2595,2550,2550,2828
2026-08-21,2550,2595,2550,2595,3387
2026-08-24,2595,2595,2595,2595,1737
2026-08-25,2595,2595,2595,2595,1737
2026-08-26,2595,2595,2550,2550,6831
2026-08-28,2550,2600,2550,2600,3625
2026-08-29,2575,2595,2575,2595,5586
2026-08-31,2595,2740,2595,2740,7190
2026-09-01,2780,2830,2780,2830,2472
2026-09-02,2835,2835,2815,2815,3328
2026-09-03,2760,2760,2690,2690,3367
2026-09-04,2680,2680,2605,2605,3518
2026-09-10,2500,2500,2500,2500,4696
2026-09-18,2435,2435,2300,2300,942
2026-09-24,2100,2250,2100,2250,1752
