date,open,high,low,close,volume
2021-07-30,700,705,675,675,2865
2021-08-31,690,720,615,620,18395
2021-09-30,620,700,620,660,29094
2021-10-29,660,745,650,715,15995
2021-11-30,715,775,690,725,25060
2021-12-31,725,750,650,730,8439
2022-01-31,720,1015,690,1015,13123
2022-02-28,1000,2250,1000,1240,102416
2022-03-31,1150,1945,1150,1380,43487
2022-04-29,1400,1860,1360,1485,25446
2022-05-31,1375,1700,1330,1420,15301
2022-06-30,1525,1600,1350,1395,9932
2022-07-29,1360,1600,1125,1300,6478
2022-08-31,1395,1500,1300,1420,4180
2022-09-30,1420,1470,1340,1390,2588
2022-10-28,1350,1420,975,975,9564
2022-11-30,975,1005,905,1000,11963
2022-12-30,1000,1295,950,950,7665
2023-01-30,950,1195,900,1000,9991
2023-02-28,1000,1190,920,1000,14160
2023-03-31,980,1180,980,1050,38676
2023-04-28,1050,1180,1000,1015,13190
2023-05-31,1000,1145,850,1090,30443
2023-06-29,1090,1145,940,1005,28967
2023-07-28,1005,1150,950,1110,12225
2023-08-31,1100,1120,1000,1000,14706
2023-09-28,1005,1145,1000,1145,7493
2023-10-31,1145,1150,850,855,6292
2023-11-30,800,965,695,900,24732
2023-12-29,850,900,780,900,1564
2024-01-31,900,900,800,860,2152
2024-02-29,860,860,750,810,3489
2024-03-29,810,810,750,800,3475
2024-04-29,800,805,690,790,5535
2024-05-31,780,790,685,780,2579
2024-06-28,785,785,695,695,2072
2024-07-31,695,770,680,765,4345
2024-08-30,765,780,670,685,11064
2024-09-30,680,720,650,700,8526
2024-10-31,700,700,605,650,3915
2024-11-29,650,680,500,535,7988
2024-12-31,540,540,405,450,20992
2025-01-31,445,480,410,460,6780
2025-02-28,465,600,465,595,25975
2025-03-28,595,715,580,580,23833
2025-04-29,585,645,440,595,26511
2025-05-30,595,620,500,510,26924
2025-06-30,540,580,475,560,15303
2025-07-31,565,600,540,575,8470
2025-08-29,590,700,520,680,24992
2025-09-30,665,1100,650,1050,59530
2025-10-31,1040,1300,995,1250,46424
2025-11-28,1180,1240,925,1095,44381
2025-12-31,1095,1530,1050,1325,56844
2026-01-30,1240,1370,1120,1265,101744
2026-02-27,1280,2000,1270,1990,94167
2026-03-31,1960,2725,1865,2725,112204
2026-04-30,2735,4185,2680,3050,98746
2026-05-29,3030,3345,2500,3000,85944
2026-06-30,3100,3700,2570,3550,249511
2026-07-31,3500,3500,2680,2680,115176
2026-08-31,2750,2845,2500,2740,77945
2026-09-24,2780,2850,1960,2250,76273
