date,open,high,low,close,volume
2026-06-14,3600,3600,3550,3550,18518
2026-06-21,3495,3500,3495,3500,28400
2026-06-25,3350,3645,3350,3630,14538
2026-07-05,3600,3600,3440,3440,15629
2026-07-10,3400,3400,2860,3200,24809
2026-07-17,3200,3200,3055,3185,18589
2026-07-24,3085,3195,2905,2905,32717
2026-07-31,2905,2905,2680,2680,31250
2026-08-07,2750,2820,2675,2675,18645
2026-08-14,2715,2715,2600,2635,17095
2026-08-21,2640,2640,2500,2595,21398
2026-08-29,2595,2600,2550,2595,19516
2026-09-04,2595,2835,2595,2605,19875
2026-09-10,2500,2500,2500,2500,4696
2026-09-18,2435,2435,2300,2300,942
2026-09-24,2100,2250,2100,2250,1752
