date,open,high,low,close,volume
2021-07-26,3470,3750,3470,3750,12042
2021-07-27,3750,3750,3500,3735,426
2021-07-28,3610,3610,3610,3610,450
2021-07-29,3610,3610,3610,3610,232
2021-07-30,3610,3610,3500,3500,5900
2021-08-02,3500,3600,3500,3600,600
2021-08-03,3510,3510,3510,3510,235
2021-08-04,3595,3595,3595,3595,38
2021-08-05,3595,3735,3595,3725,333
2021-08-06,3735,3745,3720,3735,186
2021-08-09,3735,3735,3735,3735,13
2021-08-10,3740,3740,3720,3720,51
2021-08-11,3700,3735,3700,3735,166
2021-08-12,3735,3735,3735,3735,120
2021-08-13,3730,3730,3600,3730,356
2021-08-16,3725,3725,3710,3710,55
2021-08-17,3700,3710,3450,3450,102
2021-08-19,3500,3510,3450,3510,45233
2021-08-20,3510,3700,3450,3520,34581
2021-08-23,3520,3700,3520,3700,112
2021-08-24,3600,3700,3600,3700,1312
2021-08-25,3700,3700,3700,3700,130
2021-08-26,3650,3700,3650,3700,190
2021-08-27,3650,3695,3650,3695,141
2021-08-30,3605,3605,3600,3600,607
2021-08-31,3600,3710,3600,3705,535
2021-09-01,3705,3705,3705,3705,10
2021-09-03,3700,3700,3700,3700,9
2021-09-06,3700,3700,3670,3700,1045
2021-09-07,3690,3700,3690,3695,412
2021-09-08,3505,3700,3505,3540,3349
2021-09-09,3690,3690,3690,3690,3
2021-09-10,3685,3690,3685,3690,482
2021-09-13,3690,3690,3690,3690,72
2021-09-14,3700,3700,3695,3700,3715
2021-09-15,3710,3795,3525,3795,670
2021-09-16,3800,3800,3800,3800,1395
2021-09-20,3780,3800,3780,3800,620
2021-09-21,3800,3895,3800,3895,245
2021-09-22,3890,3890,3825,3850,6786
2021-09-23,3890,3900,3890,3900,150
2021-09-24,3900,3940,3900,3910,711
2021-09-27,3935,3945,3915,3945,1271
2021-09-28,3950,4000,3950,4000,50
2021-09-29,3960,4005,3960,4005,394
2021-09-30,4005,4300,4005,4300,470
2021-10-01,4300,4300,4200,4200,168
2021-10-04,4200,4500,4200,4500,420
2021-10-05,4500,4795,4200,4200,1450
2021-10-06,4205,4205,4120,4120,1380
2021-10-07,4050,4120,4050,4120,327
2021-10-08,4200,4205,4125,4150,621
2021-10-11,4200,4210,4120,4120,1040
2021-10-12,4120,4120,4010,4010,910
2021-10-13,4300,4300,4300,4300,75
2021-10-14,4100,4100,4100,4100,30
2021-10-20,4200,4200,4200,4200,8
2021-10-21,4200,4200,4200,4200,751
2021-10-22,4205,4510,4205,4510,600
2021-10-26,4210,4490,4205,4205,2478
2021-10-27,4290,4290,4250,4250,1290
2021-10-28,4565,4565,4565,4565,3724
2021-10-29,4905,4905,4900,4905,2905
