date,open,high,low,close,volume
2026-06-14,21920,21920,21900,21900,26846
2026-06-21,22000,22500,22000,22100,21932
2026-06-25,22100,22400,22000,22310,44786
2026-07-05,24995,25000,24350,24350,19885
2026-07-10,24400,24550,24055,24105,22324
2026-07-17,24200,24200,22000,23900,17834
2026-07-24,23900,23900,23010,23190,9688
2026-07-31,23190,23200,22900,23200,16032
2026-08-07,23205,25000,23205,24980,20432
2026-08-14,24995,25000,22225,23495,23119
2026-08-21,23000,23100,22900,22900,15992
2026-08-29,22900,22910,21205,22350,24410
2026-09-04,22350,22500,22000,22100,13349
2026-09-10,21985,22000,21985,22000,3825
2026-09-18,21950,21950,21100,21100,258
2026-09-24,20895,21500,20895,21500,2995
