date,open,high,low,close,volume
2021-07-26,1650,1650,1635,1650,40
2021-07-27,1650,1700,1650,1700,632
2021-07-28,1700,1700,1650,1700,260
2021-07-29,1750,1770,1750,1770,487
2021-07-30,1895,1895,1775,1840,83
2021-08-02,1840,1850,1755,1755,317
2021-08-03,1800,1800,1755,1800,1064
2021-08-04,1795,1795,1750,1750,2461
2021-08-05,1750,1750,1750,1750,995
2021-08-06,1750,1795,1750,1795,90
2021-08-09,1750,1750,1675,1750,1794
2021-08-10,1750,1780,1750,1780,730
2021-08-11,1780,1780,1775,1780,1094
2021-08-12,1780,1780,1775,1775,1934
2021-08-13,1740,1775,1645,1750,951
2021-08-16,1750,1800,1740,1750,950
2021-08-17,1750,1750,1750,1750,60
2021-08-18,1750,1750,1650,1750,1750
2021-08-19,1750,1755,1750,1750,290
2021-08-20,1800,1800,1750,1750,802
2021-08-23,1755,1800,1750,1800,1247
2021-08-24,1800,1850,1800,1850,386
2021-08-25,1850,1850,1830,1830,638
2021-08-26,1850,1850,1830,1830,160
2021-08-27,1830,1850,1830,1830,744
2021-08-30,1830,1830,1830,1830,666
2021-08-31,1840,1850,1830,1830,302
2021-09-01,1830,1830,1820,1820,2350
2021-09-02,1820,1850,1820,1830,1373
2021-09-03,1850,1850,1825,1825,290
2021-09-06,1850,1850,1850,1850,776
2021-09-07,1870,1905,1870,1905,3790
2021-09-08,1905,1910,1900,1900,1230
2021-09-09,1900,1905,1900,1900,1083
2021-09-10,1900,1910,1850,1850,3395
2021-09-13,1850,1900,1850,1900,1786
2021-09-14,1850,1950,1850,1945,434
2021-09-15,1945,1945,1850,1945,120
2021-09-16,1905,1945,1905,1945,300
2021-09-17,1940,1950,1940,1945,587
2021-09-20,1910,1940,1910,1940,2495
2021-09-21,1945,1950,1940,1950,1459
2021-09-22,1945,1955,1945,1950,1650
2021-09-23,1850,1955,1850,1955,5776
2021-09-24,1955,1980,1935,1950,3911
2021-09-27,1900,1900,1805,1805,1669
2021-09-28,1805,1805,1800,1805,1121
2021-09-29,1805,1850,1800,1800,2872
2021-09-30,1850,1850,1800,1800,2761
2021-10-01,1800,1845,1800,1800,395
2021-10-04,1670,1850,1665,1850,2426
2021-10-05,1850,1850,1840,1840,1145
2021-10-06,1845,1850,1840,1850,1972
2021-10-07,1850,1850,1845,1850,3896
2021-10-08,1850,1850,1810,1810,239
2021-10-11,1820,1850,1800,1850,1311
2021-10-12,1820,1895,1820,1895,2314
2021-10-13,1890,1940,1860,1905,2482
2021-10-14,1910,1950,1910,1910,1146
2021-10-15,1945,1945,1875,1945,154
2021-10-19,1875,1950,1875,1945,902
2021-10-20,1945,1950,1945,1950,495
2021-10-21,1950,1950,1875,1950,468
2021-10-22,1900,1930,1900,1930,270
2021-10-25,1900,2000,1900,1900,2171
2021-10-26,1900,2000,1885,2000,7815
2021-10-27,1850,2050,1850,2000,5458
2021-10-28,2150,2150,2060,2150,12406
2021-10-29,2150,2200,2105,2150,6753
2021-11-03,2150,2150,2150,2150,2383
2021-11-04,2150,2150,2005,2145,1091
2021-11-05,2145,2145,2125,2145,3246
2021-11-08,2145,2145,2000,2000,1834
2021-11-09,2090,2125,2005,2110,4344
2021-11-10,2110,2110,2010,2100,488
2021-11-11,2015,2145,2015,2100,295
2021-11-12,2100,2100,2000,2005,6199
2021-11-16,2005,2140,2005,2140,318
2021-11-17,2100,2100,2100,2100,125
2021-11-18,2100,2100,2100,2100,162
2021-11-19,2095,2095,2095,2095,11
2021-11-22,2100,2130,2010,2130,2927
2021-11-23,2130,2150,2050,2140,266
2021-11-24,2100,2150,2055,2145,5267
2021-11-25,2100,2200,2100,2200,1161
2021-11-26,2200,2310,2200,2310,1466
2021-11-29,2480,2480,2215,2350,1953
2021-11-30,2300,2350,2300,2300,328
2021-12-01,2320,2350,2320,2320,317
2021-12-02,2320,2350,2320,2335,1083
2021-12-03,2330,2330,2235,2330,335
2021-12-06,2330,2330,2215,2320,934
2021-12-07,2320,2330,2320,2330,195
2021-12-08,2215,2330,2215,2215,1052
2021-12-09,2300,2330,2215,2215,556
2021-12-10,2215,2230,2215,2230,472
2021-12-13,2230,2230,2205,2230,124
2021-12-14,2230,2250,2220,2220,2243
2021-12-15,2220,2250,2215,2215,188
2021-12-16,2215,2220,2190,2190,20418
2021-12-17,2190,2220,2185,2220,1672
2021-12-20,2190,2210,2145,2210,566
2021-12-21,2190,2190,2050,2050,2740
2021-12-22,2190,2190,2050,2190,1946
2021-12-23,2055,2090,2055,2090,672
2021-12-24,2090,2100,2090,2090,749
2021-12-27,2010,2095,2010,2020,605
2021-12-28,2010,2075,2000,2075,2071
2021-12-29,2020,2050,2000,2000,3385
2021-12-30,2050,2090,2000,2090,3870
2021-12-31,2085,2100,2085,2100,1616
2022-01-03,2100,2170,2000,2050,1080
2022-01-04,2000,2050,2000,2000,1748
2022-01-05,2050,2090,2050,2090,472
