date,open,high,low,close,volume
2021-07-30,1650,1895,1635,1840,1502
2021-08-31,1840,1850,1645,1830,19425
2021-09-30,1830,1980,1800,1800,41228
2021-10-29,1800,2200,1665,2150,54218
2021-11-30,2150,2480,2000,2300,33864
2021-12-31,2320,2350,2000,2100,47809
2022-01-31,2100,2210,2000,2200,25079
2022-02-28,2220,2285,2100,2250,57393
2022-03-31,2310,2450,2150,2300,101425
2022-04-29,2375,2470,2100,2380,50938
2022-05-31,2380,2400,2100,2200,9510
2022-06-30,2200,2385,2200,2355,66355
2022-07-29,2300,2345,2150,2300,41629
2022-08-31,2290,2295,2200,2250,34321
2022-09-30,2250,2380,2145,2295,51252
2022-10-31,2300,2500,2180,2340,59681
2022-11-30,2335,2350,2010,2195,680845
2022-12-30,2190,2200,1885,1895,20170
2023-01-31,1895,2040,1865,2040,61796
2023-02-28,2050,2295,2000,2100,62989
2023-03-31,2100,2290,2000,2120,40308
2023-04-28,2105,2200,2005,2150,12491
2023-05-31,2145,2200,2000,2100,28682
2023-06-30,2100,2295,1995,2290,70312
2023-07-31,2290,2380,2065,2380,50380
2023-08-31,2380,2380,2015,2150,572965
2023-09-29,2150,2315,1995,2160,85167
2023-10-31,2190,2200,1900,1900,83569
2023-11-30,1890,2000,1795,1795,75634
2023-12-29,1800,1865,1645,1800,103250
2024-01-31,1710,1865,1625,1700,51978
2024-02-29,1750,1750,1555,1685,430469
2024-03-29,1685,1750,1600,1620,103369
2024-04-30,1680,1880,1600,1880,81624
2024-05-31,1900,2100,1830,2085,82220
2024-06-28,2085,2150,2000,2110,42462
2024-07-31,2115,2250,2100,2190,100972
2024-08-30,2245,2600,2185,2600,243864
2024-09-30,2600,2700,2130,2290,133482
2024-10-31,2270,2550,2160,2450,112420
2024-11-29,2450,2525,2350,2390,50375
2024-12-31,2390,2500,2180,2500,65907
2025-01-31,2500,2500,2350,2495,57471
2025-02-28,2375,3790,2375,3790,205198
2025-03-28,3555,3905,3350,3480,192206
2025-04-30,3485,4190,3200,3545,243762
2025-05-30,3280,3280,2225,2540,187012
2025-06-30,2410,2945,2410,2650,211132
2025-07-31,2695,2700,2400,2525,115903
2025-08-29,2550,2600,2405,2540,282711
2025-09-30,2480,2490,2260,2400,152703
2025-10-31,2445,2535,2100,2380,357774
2025-11-28,2380,2400,2235,2345,85278
2025-12-31,2350,2400,2300,2335,46342
2026-01-30,2335,2475,2300,2350,57812
2026-02-27,2400,2890,2305,2800,105445
2026-03-31,2850,3300,2715,2880,406220
2026-04-30,2750,2850,2610,2740,227997
2026-05-29,2700,3060,2700,2850,93266
2026-06-30,2885,2995,2750,2870,150617
2026-07-31,2800,3000,2730,2975,182935
2026-08-31,2975,3595,2805,3375,134834
2026-09-24,3410,3465,2985,3050,156788
