date,open,high,low,close,volume
2026-06-14,2850,2870,2850,2870,3718
2026-06-21,2870,2900,2800,2900,30066
2026-06-25,2760,2900,2760,2780,27959
2026-07-05,2900,2995,2795,2925,41468
2026-07-10,2925,2940,2800,2800,89371
2026-07-17,2895,2990,2800,2900,32375
2026-07-24,2900,3000,2875,2995,12848
2026-07-31,2995,3000,2770,2975,33325
2026-08-07,2975,2990,2805,2805,18338
2026-08-14,2900,3150,2900,3150,20852
2026-08-21,3150,3400,3150,3400,56227
2026-08-29,3480,3595,3400,3400,46591
2026-09-04,3400,3410,3350,3370,31879
2026-09-10,3300,3300,3295,3295,7191
2026-09-18,3270,3270,3255,3255,382
2026-09-24,2985,3050,2985,3050,2957
