date,open,high,low,close,volume
2026-06-13,3440,3440,3425,3425,2019
2026-06-14,3440,3440,3425,3425,2019
2026-06-16,3310,3395,3310,3395,1490
2026-06-17,3395,3460,3395,3460,2069
2026-06-19,3495,3500,3495,3500,1490
2026-06-20,3495,3500,3495,3500,1490
2026-06-21,3495,3500,3495,3500,1490
2026-06-22,3500,3500,3455,3455,2166
2026-06-23,3455,3455,3450,3450,971
2026-06-24,3450,3450,3450,3450,315
2026-06-25,3450,3455,3450,3455,1705
2026-06-29,3600,3750,3600,3750,1124
2026-06-30,3750,3895,3750,3895,2280
2026-07-01,3800,4000,3800,4000,3398
2026-07-02,4050,4050,4050,4050,3784
2026-07-03,4045,4045,4045,4045,4785
2026-07-05,4045,4045,4045,4045,4785
2026-07-06,4045,4200,4045,4200,2537
2026-07-07,4205,4500,4205,4500,5744
2026-07-08,4510,4510,4300,4300,4585
2026-07-09,4350,4350,4250,4250,7352
2026-07-10,4250,4260,4250,4260,2525
2026-07-13,4250,4295,4250,4295,4233
2026-07-14,4300,4440,4300,4440,1371
2026-07-15,4110,4110,4110,4110,2770
2026-07-16,3900,4085,3900,4085,8392
2026-07-17,4050,4050,3995,3995,3571
2026-07-20,3900,3900,3800,3800,5625
2026-07-21,3600,3745,3600,3745,1808
2026-07-22,3745,3745,3700,3700,11890
2026-07-23,3700,3800,3700,3800,2026
2026-07-24,3800,3800,3750,3750,1407
2026-07-27,3750,3750,3700,3700,2698
2026-07-28,3650,3650,3650,3650,4799
2026-07-29,3610,3625,3610,3625,3305
2026-07-30,3650,3650,3650,3650,2283
2026-07-31,3650,3655,3650,3655,1779
2026-08-03,3625,3655,3625,3655,2070
2026-08-04,3650,3650,3500,3500,2450
2026-08-05,3500,3630,3500,3630,681
2026-08-06,3630,3630,3500,3500,1573
2026-08-07,3630,3630,3500,3500,1573
2026-08-10,3550,3600,3550,3600,1109
2026-08-11,3600,3600,3600,3600,2965
2026-08-12,3600,3600,3600,3600,2995
2026-08-13,3500,3600,3500,3600,1684
2026-08-14,3550,3585,3550,3585,491
2026-08-17,3585,3700,3585,3700,2434
2026-08-18,3700,3800,3700,3800,3926
2026-08-19,3900,3900,3700,3700,2275
2026-08-20,3800,3965,3800,3965,1964
2026-08-21,3965,3965,3900,3900,3491
2026-08-24,3920,3920,3850,3850,2759
2026-08-25,3920,3920,3850,3850,2759
2026-08-26,3850,3850,3800,3800,2307
2026-08-28,3790,3790,3685,3685,6384
2026-08-29,3670,3795,3670,3795,1727
2026-08-31,3795,3800,3795,3800,1819
2026-09-01,3800,3855,3800,3855,4239
2026-09-02,3855,3855,3855,3855,2288
2026-09-03,3800,3850,3800,3850,1070
2026-09-04,3825,3840,3825,3840,1575
2026-09-10,3790,3840,3790,3840,2954
2026-09-18,3980,3980,3950,3950,342
2026-09-24,3800,3800,3795,3795,956
