date,open,high,low,close,volume
2021-07-30,1950,1950,1685,1685,18212
2021-08-31,1685,1830,1620,1785,45503
2021-09-30,1770,1825,1700,1785,38246
2021-10-29,1800,2025,1730,2025,59330
2021-11-30,2000,2100,1890,2100,26619
2021-12-31,2100,2325,1960,1975,79963
2022-01-31,2000,2100,1850,2100,32854
2022-02-28,2100,2365,1970,2360,59659
2022-03-31,2350,2805,2250,2500,41804
2022-04-29,2505,2650,2300,2395,18015
2022-05-31,2400,2550,2260,2400,23100
2022-06-30,2400,2620,2340,2400,70392
2022-07-29,2485,2590,2175,2300,33290
2022-08-31,2200,2750,2200,2650,35026
2022-09-30,2645,2650,2260,2405,60447
2022-10-31,2405,2500,2120,2500,33190
2022-11-30,2500,2680,2325,2375,41236
2022-12-30,2375,2695,2325,2535,533614
2023-01-31,2535,2535,2310,2495,17405
2023-02-28,2495,2830,2425,2830,92396
2023-03-31,2650,2830,2555,2565,51906
2023-04-28,2575,2740,2450,2600,23612
2023-05-31,2640,2645,2440,2600,24634
2023-06-30,2600,2680,2500,2630,60447
2023-07-31,2620,2745,2365,2490,37995
2023-08-31,2490,2640,2400,2640,290353
2023-09-29,2650,2915,2600,2710,26492
2023-10-31,2735,2895,2450,2450,55869
2023-11-30,2450,2600,2315,2450,70878
2023-12-29,2450,2550,2160,2500,51582
2024-01-31,2315,2500,2130,2290,20467
2024-02-29,2280,2430,2150,2400,19755
2024-03-29,2400,2450,2135,2450,55563
2024-04-30,2445,2620,2200,2440,32196
2024-05-31,2265,2415,2100,2200,51604
2024-06-28,2225,2500,2120,2390,46057
2024-07-31,2350,2350,2000,2200,64534
2024-08-30,2210,2320,2090,2190,39234
2024-09-30,2190,2365,2150,2345,58044
2024-10-31,2345,2400,2160,2395,31383
2024-11-29,2400,2435,2150,2315,32003
2024-12-31,2350,2430,2085,2300,30137
2025-01-31,2300,2400,2200,2200,12651
2025-02-28,2200,2395,2200,2365,37129
2025-03-28,2370,2450,2300,2440,57530
2025-04-30,2355,2545,2200,2525,41300
2025-05-30,2500,2545,2400,2500,62667
2025-06-30,2525,2785,2500,2725,84502
2025-07-31,2725,2750,2255,2500,100348
2025-08-29,2500,2600,2380,2580,41151
2025-09-30,2580,2595,2300,2490,64929
2025-10-31,2460,2600,2430,2500,58822
2025-11-28,2495,2555,2470,2555,34053
2025-12-31,2555,2565,2465,2500,24149
2026-01-30,2510,2680,2350,2600,20540
2026-02-27,2600,3005,2600,2910,53539
2026-03-31,2940,3495,2940,3250,100903
2026-04-30,3350,3400,2850,3250,55070
2026-05-29,3250,3350,2810,3350,37435
2026-06-30,3350,3995,3300,3895,51704
2026-07-31,3800,4510,3500,3655,92667
2026-08-31,3625,3975,3500,3800,45104
2026-09-24,3800,4000,3550,3795,34530
