date,open,high,low,close,volume
2021-07-30,1950,1950,1685,1685,18212
2021-08-06,1685,1700,1620,1695,7622
2021-08-13,1700,1830,1700,1775,3158
2021-08-20,1775,1800,1755,1800,5583
2021-08-27,1800,1825,1775,1800,26072
2021-09-03,1800,1800,1700,1750,6663
2021-09-10,1750,1750,1715,1740,4804
2021-09-17,1750,1785,1715,1750,6115
2021-09-24,1745,1825,1720,1825,15666
2021-10-01,1825,1825,1780,1810,8170
2021-10-08,1810,1830,1790,1790,7770
2021-10-15,1830,1850,1730,1800,23355
2021-10-22,1800,1850,1755,1840,20254
2021-10-29,1805,2025,1805,2025,7847
2021-11-05,2000,2000,1890,1890,9336
2021-11-12,1910,1990,1890,1890,3494
2021-11-19,1890,1990,1890,1900,2909
2021-11-26,1900,1985,1900,1985,2876
2021-12-03,1985,2100,1980,2000,11703
2021-12-10,1995,2000,1960,2000,19260
2021-12-17,2000,2100,1980,2100,9885
2021-12-23,2100,2200,2000,2200,19220
2021-12-31,2035,2325,1975,1975,27899
2022-01-07,2000,2000,1860,1995,14150
2022-01-14,1995,1995,1930,1990,2306
2022-01-21,1990,1995,1900,1990,7828
2022-01-28,1995,2100,1850,2100,7854
2022-02-04,2100,2100,2000,2015,3873
2022-02-11,2035,2090,2010,2050,4749
2022-02-18,2050,2150,1970,2150,38073
2022-02-25,2150,2205,2050,2205,13064
2022-03-04,2250,2365,2250,2315,5409
2022-03-11,2300,2400,2300,2350,10912
2022-03-18,2350,2395,2345,2390,7244
2022-03-25,2395,2510,2390,2500,2915
2022-04-01,2460,2805,2460,2640,16330
2022-04-08,2505,2640,2405,2575,2218
2022-04-15,2405,2540,2340,2340,3503
2022-04-22,2340,2350,2300,2345,7349
2022-04-29,2345,2450,2335,2395,4555
2022-05-06,2400,2550,2300,2300,8876
2022-05-13,2300,2400,2260,2385,1386
2022-05-20,2385,2385,2345,2385,5703
2022-05-27,2385,2400,2350,2350,4753
2022-06-03,2375,2495,2340,2450,8200
2022-06-10,2500,2605,2450,2590,33018
2022-06-17,2590,2620,2400,2590,17907
2022-06-24,2590,2590,2405,2545,10710
2022-07-01,2360,2545,2345,2400,3566
2022-07-08,2400,2500,2400,2490,4118
2022-07-15,2490,2590,2480,2590,12228
2022-07-22,2590,2590,2175,2300,12068
2022-07-29,2300,2350,2180,2300,4249
2022-08-05,2200,2445,2200,2400,3633
2022-08-12,2400,2400,2305,2350,2586
2022-08-19,2350,2395,2300,2395,5032
2022-08-26,2350,2750,2345,2725,18107
2022-09-02,2650,2675,2450,2640,5756
2022-09-09,2640,2640,2310,2360,5291
2022-09-16,2305,2500,2305,2500,1714
2022-09-23,2490,2595,2360,2365,22132
2022-09-30,2350,2405,2260,2405,31222
2022-10-07,2405,2445,2120,2375,12268
2022-10-14,2375,2500,2220,2250,823
2022-10-21,2355,2400,2255,2345,15446
2022-10-28,2300,2500,2300,2500,4088
2022-11-04,2500,2680,2405,2600,9199
2022-11-11,2600,2600,2400,2490,7864
2022-11-18,2500,2600,2400,2450,4143
2022-11-25,2445,2445,2325,2375,12848
2022-12-02,2375,2500,2350,2400,8489
2022-12-09,2400,2500,2325,2495,5768
2022-12-16,2495,2495,2400,2490,440861
2022-12-23,2495,2695,2490,2635,10988
2022-12-30,2600,2600,2400,2535,75255
2023-01-06,2535,2535,2310,2480,3199
2023-01-13,2480,2480,2360,2465,1671
2023-01-20,2370,2465,2370,2450,2846
2023-01-27,2450,2460,2370,2450,8668
2023-02-03,2425,2495,2425,2495,3698
2023-02-10,2500,2595,2495,2550,14566
2023-02-17,2550,2580,2500,2580,19639
2023-02-24,2580,2650,2555,2650,16631
2023-03-03,2650,2830,2640,2795,49237
2023-03-10,2795,2800,2655,2800,5668
2023-03-17,2800,2800,2650,2750,8447
2023-03-24,2745,2745,2610,2650,4067
2023-03-31,2650,2650,2555,2565,23370
2023-04-07,2575,2590,2450,2500,4952
2023-04-14,2500,2590,2455,2585,4501
2023-04-20,2490,2650,2490,2550,2034
2023-04-28,2500,2740,2465,2600,12125
2023-05-05,2640,2645,2590,2610,7842
2023-05-12,2610,2640,2460,2580,10992
2023-05-19,2580,2580,2500,2580,1228
2023-05-26,2580,2600,2440,2600,3754
2023-06-02,2555,2600,2550,2600,5111
2023-06-09,2585,2680,2555,2585,5097
2023-06-16,2590,2630,2500,2600,11060
2023-06-23,2550,2600,2550,2600,7456
2023-06-30,2550,2630,2500,2630,32541
2023-07-07,2620,2745,2600,2725,12261
2023-07-14,2725,2725,2375,2475,4304
2023-07-21,2475,2500,2365,2495,13396
2023-07-28,2495,2495,2405,2495,7584
2023-08-04,2400,2600,2400,2495,2974
2023-08-11,2495,2550,2400,2495,3294
2023-08-18,2400,2600,2400,2600,16199
2023-08-25,2600,2600,2410,2560,258349
2023-09-01,2595,2715,2500,2695,11494
2023-09-08,2700,2715,2600,2715,7472
2023-09-15,2715,2915,2700,2900,13963
2023-09-22,2900,2910,2715,2750,2680
2023-09-29,2750,2895,2700,2710,870
2023-10-06,2735,2895,2605,2895,20147
2023-10-13,2895,2895,2705,2730,19128
2023-10-20,2750,2750,2600,2650,2405
2023-10-27,2605,2700,2490,2500,12113
2023-11-03,2500,2500,2400,2400,8257
2023-11-10,2450,2550,2400,2550,10091
2023-11-17,2550,2550,2360,2535,16655
2023-11-24,2535,2600,2315,2450,32245
2023-12-01,2450,2590,2365,2400,6997
