date,open,high,low,close,volume
2026-06-13,55255,58000,55255,58000,17
2026-06-14,55255,58000,55255,58000,17
2026-06-16,55700,55800,55700,55800,8
2026-06-17,55800,56000,55800,56000,9
2026-06-19,56000,56000,56000,56000,2
2026-06-20,56000,56000,56000,56000,2
2026-06-21,56000,56000,56000,56000,2
2026-06-22,56500,57950,56500,57950,12
2026-06-23,57950,57950,57950,57950,7
2026-06-24,57950,57950,57000,57000,25
2026-06-25,57000,57000,57000,57000,0
2026-06-29,56000,56020,56000,56020,11
2026-06-30,56020,56020,55600,55600,6
2026-07-01,55600,55600,55600,55600,56
2026-07-02,55600,55600,55555,55555,9
2026-07-03,51395,51395,51395,51395,209
2026-07-05,51395,51395,51395,51395,209
2026-07-06,51395,51395,50000,50000,54
2026-07-07,50005,53735,50005,53735,37
2026-07-08,53735,53735,53735,53735,39
2026-07-09,53735,53735,53735,53735,7
2026-07-10,53735,53735,50500,50500,20
2026-07-13,50505,53735,50505,53735,23
2026-07-14,53735,53735,53735,53735,55
2026-07-15,53735,53735,53735,53735,4
2026-07-16,50500,55000,50500,55000,11
2026-07-17,54500,54500,54495,54495,4
2026-07-20,50500,52000,50500,52000,12
2026-07-21,52000,52000,50500,50500,5
2026-07-22,50520,52000,50520,52000,18
2026-07-23,52000,52000,52000,52000,4
2026-07-24,52000,52000,52000,52000,8
2026-07-27,51000,51000,51000,51000,6
2026-07-28,51000,51980,51000,51980,14
2026-07-29,51980,55875,51980,55875,28
2026-07-30,54900,54900,54000,54000,4
2026-07-31,54000,54000,51000,51000,4
2026-08-03,51035,51035,51020,51020,37
2026-08-04,51050,54700,51050,54700,12
2026-08-05,51055,54595,51055,54595,33
2026-08-06,57500,57500,54595,54595,21
2026-08-07,57500,57500,54595,54595,21
2026-08-10,54595,54595,54595,54595,19
2026-08-11,56495,56495,56300,56300,15
2026-08-12,57500,58000,57500,58000,60
2026-08-13,58000,58000,58000,58000,13
2026-08-14,58000,58000,58000,58000,0
2026-08-17,58000,58000,57990,57990,3
2026-08-18,53650,54000,53650,54000,26
2026-08-19,54000,54000,54000,54000,40
2026-08-20,54000,54000,52000,52000,55
2026-08-21,52200,52200,52200,52200,1
2026-08-24,52200,52200,52200,52200,0
2026-08-25,52200,52200,52200,52200,0
2026-08-26,52500,56115,52500,56115,15
2026-08-28,52000,52200,52000,52200,43
2026-08-29,55900,55900,52200,52200,27
2026-08-31,54800,54800,54800,54800,2
2026-09-01,54700,54700,54600,54600,2
2026-09-02,54600,54600,54000,54000,19
2026-09-03,54100,54100,54000,54000,16
2026-09-04,54000,54350,54000,54350,13
2026-09-10,54350,54350,53000,53000,17
2026-09-18,52500,52500,49025,49025,7
2026-09-24,49000,51000,49000,51000,9
