date,open,high,low,close,volume
2021-08-25,4550,4550,4400,4400,102
2021-09-16,4400,4550,4400,4550,21
2021-10-28,4850,4900,4550,4550,38
2021-11-19,4550,4550,4550,4550,12
2021-12-31,4550,4890,4550,4890,51
2022-01-21,4890,4890,4800,4850,60
2022-02-15,4850,4850,4850,4850,21
2022-07-22,5010,5780,5010,5780,26
2022-08-31,5800,6200,5800,6200,505
2022-09-30,6235,7035,6235,7035,710
2022-10-27,7035,7035,7000,7030,317
2022-11-24,7030,7030,7030,7030,6
2022-12-30,7030,7105,7000,7025,123
2023-01-24,7020,7020,7020,7020,164
2023-02-23,7020,7020,7020,7020,541
2023-03-31,7025,7550,7020,7020,239
2023-04-28,6800,6800,6790,6790,441
2023-05-17,6645,6645,6645,6645,32
2023-06-30,6640,6645,6640,6645,31
2023-07-31,6600,6600,5895,5895,263
2023-08-25,5895,5895,5365,5365,58
2023-09-26,5200,5300,5200,5300,104
2023-10-31,5300,5305,4995,5000,338
2023-11-29,5000,5000,5000,5000,121
2023-12-27,5000,5000,5000,5000,15
2024-01-29,5000,5350,5000,5350,152
2024-02-28,5750,6640,5750,6000,58
2024-03-28,6000,6000,5995,6000,41
2024-04-24,6000,6000,6000,6000,2
2024-05-31,6000,6450,5900,6450,48
2024-06-25,6450,6505,6450,6500,48
2024-07-29,6500,6505,6500,6500,20
2024-08-30,6500,6500,5150,6405,59
2024-09-23,6885,7845,6405,7845,67
2024-10-30,7845,7850,7800,7850,116
2024-11-29,7850,7850,7850,7850,46
2024-12-27,7850,7850,6475,6475,88
2025-01-31,6395,6475,5990,6450,114
2025-02-26,6450,7000,6450,7000,73
2025-03-28,6995,7550,5990,6575,138
2025-04-30,6575,11870,6575,10275,61
2025-05-30,10275,11825,10175,11265,252
2025-06-30,11265,18440,11265,18440,300
2025-07-31,18180,48970,18000,48970,211
2025-08-01,52640,52640,52640,52640,6
2025-09-30,52640,52640,17500,18500,456
2025-10-30,18500,23000,18500,23000,147
2025-11-27,23005,43900,23005,43400,193
2025-12-31,43400,43400,34225,34225,246
2026-01-30,35000,49500,35000,46400,601
2026-02-27,46400,86000,46400,74300,1230
2026-03-31,74300,74500,49630,60000,1410
2026-04-30,64500,69005,55500,60500,539
2026-05-29,62995,62995,56000,59750,335
2026-06-30,59750,59750,55000,55600,273
2026-07-31,55600,59600,50000,51000,631
2026-08-31,51035,58000,51020,54800,422
2026-09-24,54700,54700,49000,51000,372
