date,open,high,low,close,volume
2026-06-14,55255,58000,55255,58000,34
2026-06-21,55700,56000,55700,56000,23
2026-06-25,56500,57950,56500,57000,44
2026-07-05,56000,56020,51395,51395,500
2026-07-10,51395,53735,50000,50500,157
2026-07-17,50505,55000,50500,54495,97
2026-07-24,50500,52000,50500,52000,47
2026-07-31,51000,55875,51000,51000,56
2026-08-07,51035,57500,51020,54595,124
2026-08-14,54595,58000,54595,58000,107
2026-08-21,58000,58000,52000,52200,125
2026-08-29,52200,56115,52000,52200,85
2026-09-04,54800,54800,54000,54350,52
2026-09-10,54350,54350,53000,53000,17
2026-09-18,52500,52500,49025,49025,7
2026-09-24,49000,51000,49000,51000,9
