date,open,high,low,close,volume
2026-06-13,1975,1975,1970,1970,5986
2026-06-14,1975,1975,1970,1970,5986
2026-06-16,1980,1980,1970,1970,5252
2026-06-17,1970,1970,1945,1945,6212
2026-06-19,1940,1940,1930,1930,11392
2026-06-20,1940,1940,1930,1930,11392
2026-06-21,1940,1940,1930,1930,11392
2026-06-22,1930,1940,1930,1940,5398
2026-06-23,1925,1945,1925,1945,12327
2026-06-24,1950,1965,1950,1965,8885
2026-06-25,1965,1980,1965,1980,7959
2026-06-29,1950,1970,1950,1970,6705
2026-06-30,1825,1825,1825,1825,9324
2026-07-01,1690,1690,1690,1690,10132
2026-07-02,1565,1565,1565,1565,19449
2026-07-03,1450,1535,1450,1535,111753
2026-07-05,1450,1535,1450,1535,111753
2026-07-06,1505,1505,1475,1475,48842
2026-07-07,1475,1475,1385,1385,37170
2026-07-08,1300,1300,1285,1285,28170
2026-07-09,1200,1250,1200,1250,49795
2026-07-10,1260,1340,1260,1340,9655
2026-07-13,1440,1440,1440,1440,3018
2026-07-14,1545,1545,1545,1545,6701
2026-07-15,1660,1660,1660,1660,4612
2026-07-16,1780,1780,1780,1780,9984
2026-07-17,1910,1910,1845,1845,40295
2026-07-20,1870,1870,1870,1870,17654
2026-07-21,1880,1880,1875,1875,11470
2026-07-22,1880,1890,1880,1890,10268
2026-07-23,1890,1890,1830,1830,10251
2026-07-24,1800,1850,1800,1850,11983
2026-07-27,1850,1970,1850,1970,25581
2026-07-28,1970,1970,1950,1950,10900
2026-07-29,1945,1945,1905,1905,3225
2026-07-30,1905,1905,1900,1900,4076
2026-07-31,1895,1945,1895,1945,10059
2026-08-03,1950,1950,1900,1900,6968
2026-08-04,1860,1890,1860,1890,7041
2026-08-05,1835,1895,1835,1895,5591
2026-08-06,1835,1900,1835,1900,5463
2026-08-07,1835,1900,1835,1900,5463
2026-08-10,1905,1935,1905,1935,5238
2026-08-11,1935,1935,1900,1900,12601
2026-08-12,1900,1925,1900,1925,11948
2026-08-13,1930,1940,1930,1940,10478
2026-08-14,1960,2000,1960,2000,21795
2026-08-17,2050,2105,2050,2105,12858
2026-08-18,2260,2260,2260,2260,21352
2026-08-19,2425,2425,2425,2425,34846
2026-08-20,2500,2500,2470,2470,22803
2026-08-21,2470,2470,2465,2465,10893
2026-08-24,2470,2495,2470,2495,47040
2026-08-25,2470,2495,2470,2495,47040
2026-08-26,2495,2495,2400,2400,14884
2026-08-28,2410,2415,2410,2415,12398
2026-08-29,2415,2455,2415,2455,11244
2026-08-31,2405,2440,2405,2440,3554
2026-09-01,2445,2450,2445,2450,9291
2026-09-02,2450,2450,2450,2450,23294
2026-09-03,2450,2450,2425,2425,10691
2026-09-04,2420,2420,2405,2405,10224
2026-09-10,2320,2350,2320,2350,11627
2026-09-18,2300,2315,2300,2315,1650
2026-09-24,2190,2200,2190,2200,10792
