date,open,high,low,close,volume
2026-06-14,1975,1975,1970,1970,11972
2026-06-21,1980,1980,1930,1930,45640
2026-06-25,1930,1980,1925,1980,34569
2026-07-05,1950,1970,1450,1535,269116
2026-07-10,1505,1505,1200,1340,173632
2026-07-17,1440,1910,1440,1845,64610
2026-07-24,1870,1890,1800,1850,61626
2026-07-31,1850,1970,1850,1945,53841
2026-08-07,1950,1950,1835,1900,30526
2026-08-14,1905,2000,1900,2000,62060
2026-08-21,2050,2500,2050,2465,102752
2026-08-29,2470,2495,2400,2455,132606
2026-09-04,2405,2450,2405,2405,57054
2026-09-10,2320,2350,2320,2350,11627
2026-09-18,2300,2315,2300,2315,1650
2026-09-24,2190,2200,2190,2200,10792
